"Symbol","Name","OTC Market","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","Current yield","Avg Volume","Action"
"LGSXY","Light S.A. Sponsored ADRs","Pink","Brazil","BS:LIGT3","XBSP","Utilities","$987,271,609","16.64%","100","Analyze"
"MAHMF","Mahindra & Mahindra Ltd. Unsponsored GDR RegS ADRs","Pink","India","IS:M&M","National Stock Exchange Of India","Consumer Discretionary","$980,591,397","77.50%","1,225","Analyze"
"LTMAQ","Latam Airlines Group Adrs","Pink","Chile","","","Unknown","$976,316,386","5.89%","0","Analyze"
"GNCGY","Greencore Group Plc Sponsored ADRs","Pink","Ireland","LN:GNC","London Stock Exchange","Consumer Staples","$966,213,128","1.01%","100","Analyze"
"MMRTY","Massmart Holdings Limited Sponsored ADRs","Pink","South Africa","SJ:MSM","Johannesburg Stock Exchange","Consumer Staples","$956,540,906","5.75%","48,600","Analyze"
"DIPGY","Datang International Power Generation Co. Ltd. Sponsored ADRs Class H","Pink","China","HK:0991","Hong Kong Exchange","Utilities","$947,146,317","2.94%","433","Analyze"
"TOKTY","Tokai Tokyo Financial Holdings Inc. Sponsored ADRs","Pink","Japan","JT:8616","Tokyo Stock Exchange","Financials","$940,701,435","5.63%","0","Analyze"
"SLNLY","Stella International Holdings Limited Sponsored ADRs","Pink","China","HK:1836","Hong Kong Exchange","Consumer Discretionary","$927,108,767","0.23%","0","Analyze"
"COGNY","Cogna Educacao S.A. Sponsored ADRs","OTCQX","Brazil","BS:COGN3","XBSP","Consumer Discretionary","$883,881,525","0.47%","34,753","Analyze"
"ILPMY","permanent tsb Group Holdings PLC Sponsored ADRs","Pink","Ireland","ID:IL0A","Irish Stock Exchange - All Market","Financials","$866,831,486","0.00%","0","Analyze"
"IHLDY","Imperial Logistics Limited Sponsored ADRs","Pink","South Africa","SJ:IPL","Johannesburg Stock Exchange","Consumer Discretionary","$836,885,207","20.12%","127","Analyze"
"STBMY","St. Barbara Ltd. Sponsored ADRs","Pink","Australia","AT:SBM","Asx - All Markets","Materials","$794,670,296","1.07%","2,744","Analyze"
"TCLRY","Technicolor SA Sponsored ADRs","OTCQX","France","FP:TCH","Euronext Paris","Communication Services","$697,201,460","67.58%","71,464","Analyze"
"GFKSY","Gulf Keystone Petroleum Limited Unsponsored ADRs","Pink","Bermuda","LN:GKP","London Stock Exchange","Energy","$694,626,130","18.00%","2,000","Analyze"
"CGGYY","CGG Sponsored ADRs","Pink","France","FP:CGG","Euronext Paris","Energy","$576,374,977","0.00%","12,065","Analyze"
"CYBQY","CYBERDYNE Inc. Sponsored ADRs","Pink","Japan","JT:7779","Tokyo Stock Exchange","Health Care","$523,668,532","0.00%","442","Analyze"
"ADPXY","Audio Pixels Holdings Limited Sponsored ADRs","Pink","Australia","AT:AKP","Asx - All Markets","Information Technology","$514,280,041","0.00%","100","Analyze"
"PAFRY","PAN AFRICAN RESCES SP/ADRs","OTCQX","South Africa","","","Unknown","$497,217,978","0.29%","100","Analyze"
"AMSIY","ArcelorMittal South Africa Limited Sponsored ADRs","Pink","South Africa","SJ:ACL","Johannesburg Stock Exchange","Materials","$477,985,127","0.00%","0","Analyze"
"IOCJY","Iochpe Maxion S.A. Sponsored ADRs","Pink","Brazil","BS:MYPK3","XBSP","Industrials","$461,158,803","12.40%","200","Analyze"
"ANPCY","ANGLE plc Sponsored ADRs","OTCQX","United Kingdom","LN:AGL","London Stock Exchange","Health Care","$418,702,815","0.00%","0","Analyze"
"DEIPY","Rio Paranapanema Energia SA Sponsored ADRs","Pink","Brazil","","","Utilities","$412,358,669","44.89%","0","Analyze"
"PRISY","Promotora de Informaciones SA Sponsored ADRs Class A","Pink","Spain","SM:PRS","Bolsa De Madrid","Communication Services","$409,245,486","8.83%","0","Analyze"
"CTPTY","Compania de Transmissao de Energia Eletrica Paulista Sponsored ADRs","Pink","Brazil","BS:TRPL3","XBSP","Utilities","$395,935,162","26.52%","0","Analyze"
"PPCLY","PPC Ltd. Sponsored ADRs","Pink","South Africa","SJ:PPC","Johannesburg Stock Exchange","Materials","$390,313,004","8.78%","0","Analyze"
"NQMIY","NQ Minerals Plc Sponsored ADRs","OTCQB","Australia","","","Unknown","$383,012,700","0.00%","0","Analyze"
"RDRUY","Neometals Ltd. Sponsored ADRs","Pink","Australia","AT:NMT","Asx - All Markets","Materials","$372,895,952","0.24%","18,194","Analyze"
"CTJHY","CITIC Resources Holdings Limited Sponsored ADRs","Pink","China","HK:1205","Hong Kong Exchange","Industrials","$361,455,451","7.99%","0","Analyze"
"SPHRY","Starpharma Holdings Limited Sponsored ADRs","OTCQX","Australia","AT:SPL","Asx - All Markets","Health Care","$353,426,956","0.00%","6,588","Analyze"
"TVBCY","Television Broadcasts Limited Sponsored ADRs","Pink","Hong Kong","HK:0511","Hong Kong Exchange","Consumer Discretionary","$326,310,000","1.74%","600","Analyze"
"TSCHY","Trustco Group Holdings Ltd Sponsored ADRs","OTCQX","Japan","JT:3347","Tokyo Stock Exchange","Financials","$323,207,716","0.00%","0","Analyze"
"MTENY","Mahanagar Telephone Nigam Limited Sponsored ADRs","OTCQX","India","IS:MTNL","National Stock Exchange Of India","Communication Services","$320,016,026","0.00%","0","Analyze"
"MILTY","Mills Estruturas e Servicos de Engenharia S.A. Sponsored ADRs","Pink","Brazil","BS:MILS3","XBSP","Industrials","$272,342,228","2.22%","5,500","Analyze"
"ESPGY","Esprit Holdings Limited Sponsored ADRs","Pink","Hong Kong","HK:0330","Hong Kong Exchange","Consumer Discretionary","$254,773,561","0.00%","529","Analyze"
"PGSVY","PGS ASA Sponsored ADRs","Pink","Norway","NO:PGS","Oslo Bors Asa","Energy","$199,791,612","0.00%","10,352","Analyze"
"SILXY","Silex Systems Limited Sponsored ADRs","OTCQX","Australia","AT:SLX","Asx - All Markets","Unknown","$193,148,020","0.00%","952","Analyze"
"ENMPY","ENSURGE MICROPOWER SP/ADRs","OTCQB","Norway","","","Unknown","$168,100,418","0.00%","8,010","Analyze"
"NPKLY","Nampak Limited Sponsored ADRs","Pink","South Africa","SJ:NPK","Johannesburg Stock Exchange","Materials","$141,547,277","31.22%","800","Analyze"
"ORXOY","Orexo AB Sponsored ADRs","OTCQX","Sweden","SS:ORX","Nasdaq Omx Nordic","Health Care","$137,454,130","0.00%","1,000","Analyze"
"HDVTY","Henderson Investment Limited Sponsored ADRs","Pink","Hong Kong","HK:0097","Hong Kong Exchange","Unknown","$134,691,871","9.05%","0","Analyze"
"ADOCY","Adocia SA Sponsored ADRs","Pink","France","","","Health Care","$82,843,422","0.00%","0","Analyze"
"TRNLY","Trendlines Group Ltd. ADRs","OTCQX","Israel","SP:42T","Singapore Exchange","Unknown","$58,627,283","0.01%","1,217","Analyze"
"PDGRY","PDG Realty SA Empreendimentos e Participacoes Sponsored ADRs","Pink","Brazil","BS:PDGR3","XBSP","Unknown","$56,133,458","0.00%","0","Analyze"
"WLFDY","Wolford AG Sponsored ADRs","Pink","Austria","","","Unknown","$54,425,123","0.00%","0","Analyze"
"ICABY","i-CABLE Communications Limited Sponsored ADRs","Pink","Hong Kong","HK:1097","Hong Kong Exchange","Consumer Discretionary","$53,509,676","0.00%","150","Analyze"
"DPNEY","Daphne International Holdings Limited Sponsored ADRs","Pink","China","HK:0210","Hong Kong Exchange","Unknown","$50,702,883","0.00%","0","Analyze"
"GRFXY","GRAPHEX GROUP LTD  SP/ADRs","OTCQX","Hong Kong","","","Unknown","$43,942,639","0.00%","0","Analyze"
"ZXAIY","China Zenix Auto International Ltd. Sponsored ADRs","Pink","China","PRIVATE","","Consumer Discretionary","$43,365,000","0.00%","6,707","Analyze"
"EPGNY","Epigenomics AG Sponsored ADRs","OTCQX","Germany","GF:ECX","Frankfurt Stock Exchange","Unknown","$35,155,645","2.90%","0","Analyze"
"SGTSY","SINGULUS TECHNOLOGIES AG Sponsored ADRs","Pink","Germany","","","Unknown","$35,052,316","0.00%","0","Analyze"
"USOPY","U.S. Oil & Gas PLC Sponsored ADRs","Pink","Ireland","","","Energy","$25,641,184","0.00%","0","Analyze"
"CYBNY","Cyber Security 1 AB Sponsored ADRs","Pink","Sweden","","","Unknown","$19,902,458","106.77%","921","Analyze"
"GTMAY","Grupo TMM SAB Sponsored ADRs Class A","OTCQB","Mexico","","","Energy","$13,079,404","0.00%","250","Analyze"
"ICAYY","Empresas ICA SAB de CV Sponsored ADRs","Pink","Mexico","","","Unknown","$9,110,364","0.00%","300","Analyze"
"LVCLY","Living Cell Technologies Ltd. Sponsored ADRs","OTCQB","Australia","AT:LCT","Asx - All Markets","Health Care","$4,571,528","0.00%","3,402","Analyze"
"REDFY","Rediff.com India Ltd. Sponsored ADRs","Pink","India","","","Consumer Discretionary","$3,310,843","0.00%","269,480","Analyze"
"CNTFY","China Techfaith Wireless Communication Technology Ltd. Sponsored ADRs","Pink","China","","","Unknown","$127,044","0.00%","2,412","Analyze"
"HHKSY","DFCITY GP BERHAD  S/ADRs","OTCQB","Malaysia","","","Unknown","$0","0.00%","0","Analyze"
