"Symbol","Name","OTC Market","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","Current yield","Avg Volume","Action"
"SMGBY","San Miguel Corp. Sponsored ADRs","Pink","Philippines","PM:SMC","Philippine Stock Exchange Inc.","Industrials","$5,446,822,204","6.11%","1,300","Analyze"
"TGLVY","Top Glove Corporation Bhd. Sponsored ADRs","Pink","Malaysia","MK:TOPG","Bursa Malaysia","Health Care","$5,444,726,160","18.09%","35,847","Analyze"
"BKNIY","Bankinter SA Sponsored ADRs","Pink","Spain","SM:BKT","Bolsa De Madrid","Financials","$5,420,162,909","0.83%","258","Analyze"
"TSGTY","Tsingtao Brewery Co Ltd Sponsored ADRs Class H","Pink","China","HK:0168","Hong Kong Exchange","Consumer Staples","$5,232,692,610","1.88%","899","Analyze"
"SCRYY","Scor SE Sponsored ADRs","Pink","France","FP:SCR","Euronext Paris","Financials","$5,181,158,943","64.81%","6,038","Analyze"
"GEBHY","Genting Bhd. Sponsored ADRs","Pink","Malaysia","MK:GENT","Bursa Malaysia","Consumer Discretionary","$5,142,444,382","0.00%","8,243","Analyze"
"PEGRD","Pennon Group Unsp/Adr New","Pink","United Kingdom","","","Unknown","$5,087,376,222","0.91%","0","Analyze"
"RSHYY","Federal Hydro-Generating Co. RusHydro PJSC Sponsored ADRs","OTCQX","Russia","RX:HYDR","Standard-Classica-Forts","Utilities","$5,007,893,526","4.65%","1,330","Analyze"
"CDEVY","City Developments Limited Sponsored ADRs","Pink","Singapore","SP:C09","Singapore Exchange","Real Estate","$4,997,026,328","1.45%","5,627","Analyze"
"MAKSF","Marks and Spencer Group plc ADRs","OTCQX","United Kingdom","LN:MKS","London Stock Exchange","Consumer Discretionary","$4,964,465,309","0.00%","3,201","Analyze"
"LYSDY","Lynas Corporation Limited Sponsored ADRs","Pink","Australia","AT:LYC","Asx - All Markets","Materials","$4,958,751,489","0.00%","91,427","Analyze"
"GIVSY","Grupo de Inversiones Suramericana S.A. Sponsored ADRs","Pink","Colombia","CX:GRUPOSUR","Bolsa De Valores De Colombia","Financials","$4,924,239,259","2.95%","75","Analyze"
"MAKSY","Marks and Spencer Group plc Sponsored ADRs","OTCQX","United Kingdom","LN:MKS","London Stock Exchange","Consumer Discretionary","$4,915,506,085","0.00%","48,944","Analyze"
"DUFRY","Dufry Ag Unsp/Adrs","Pink","Switzerland","VX:DUFN","Six Swiss - Blue Chips Segment","Consumer Discretionary","$4,875,799,276","70.47%","397,725","Analyze"
"AWCMY","Alumina Limited Sponsored ADRs","OTCQX","Australia","AT:AWC","Asx - All Markets","Materials","$4,831,299,558","0.95%","22,862","Analyze"
"BOALY","Boral Limited Sponsored ADRs","Pink","Australia","AT:BLD","Asx - All Markets","Materials","$4,803,950,069","0.00%","893","Analyze"
"BKEAY","Bank of East Asia Ltd. Sponsored ADRs","Pink","Hong Kong","HK:0023","Hong Kong Exchange","Financials","$4,793,122,272","35.98%","615","Analyze"
"TPRKY","Travis Perkins plc Unsponsored ADRs","Pink","United Kingdom","LN:TPK","London Stock Exchange","Industrials","$4,775,373,555","0.56%","0","Analyze"
"CPYYY","Centrica plc Sponsored ADRs","Pink","United Kingdom","LN:CNA","London Stock Exchange","Utilities","$4,689,686,067","4.98%","14,736","Analyze"
"IGGHY","IG Group Holdings plc Sponsored ADRs","Pink","United Kingdom","LN:IGG","London Stock Exchange","Financials","$4,682,582,837","3.98%","2,463","Analyze"
"AKABY","ALK-abello A/S Sponsored ADRs","Pink","Denmark","DC:ALK-B","Omx Nordic Exchange Copenhagen A/S","Health Care","$4,674,238,140","0.00%","0","Analyze"
"CLCGY","Clicks Group Limited Sponsored ADRs","Pink","South Africa","SJ:CLS","Johannesburg Stock Exchange","Consumer Staples","$4,628,750,694","11.94%","537","Analyze"
"UOLGY","UOL Group Limited Sponsored ADRs","Pink","Singapore","SP:U14","Singapore Exchange","Real Estate","$4,605,543,211","0.69%","1,140","Analyze"
"GLAPY","Glanbia Plc Sponsored ADRs","Pink","Ireland","LN:GL9","London Stock Exchange","Consumer Staples","$4,576,764,358","0.35%","403","Analyze"
"BDVSY","Bidvest Group Limited Sponsored ADRs","Pink","South Africa","SJ:BVT","Johannesburg Stock Exchange","Industrials","$4,450,788,446","23.06%","11,724","Analyze"
"GMALY","Genting Malaysia Bhd. Sponsored ADRs","Pink","Malaysia","MK:GENM","Bursa Malaysia","Consumer Discretionary","$4,409,491,008","0.00%","400","Analyze"
"SGTPY","Surgutneftegas PJSC Sponsored ADRs Pfd","Pink","Russia","RX:SNGSP","Standard-Classica-Forts","Energy","$4,367,033,002","0.37%","73,784","Analyze"
"TATYY","Tate & Lyle PLC Sponsored ADRs","OTCQX","United Kingdom","LN:TATE","London Stock Exchange","Consumer Staples","$4,348,776,470","0.83%","869","Analyze"
"TKGBY","Turkiye Garanti Bankasi Anonim Sirketi Sponsored ADRs","OTCQX","Turkey","TI:GARAN","Istanbul Stock Exchange","Financials","$4,326,000,000","1.74%","1,059,070","Analyze"
"EQUEY","Equatorial Energia S.A. Sponsored ADRs","Pink","Brazil","BS:EQTL3","XBSP","Utilities","$4,324,987,444","16.82%","3,396","Analyze"
"ROSYY","Rostelecom PJSC Sponsored ADRs","OTCQX","Russia","RX:RTKM","Standard-Classica-Forts","Communication Services","$4,289,783,964","0.00%","500","Analyze"
"BOSSY","HUGO BOSS AG Sponsored ADRs","OTCQX","Germany","GF:BOSS","Frankfurt Stock Exchange","Consumer Discretionary","$4,269,760,000","0.33%","974","Analyze"
