"Symbol","Name","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","P/E","P/S","P/B","Current yield","Avg Volume","Action"
"CD","Chindata Group Holdings Ltd ADRs","China","PRIVATE","","Information Technology","$1,761,142,093","0.00","4.78","0.17","0.00%","2,232,684","Analyze"
"NOAH","Noah Holdings ADRs","China","PRIVATE","","Financials","$1,749,918,967","0.00","2.84","0.23","0.00%","122,191","Analyze"
"MFGP","Micro Focus Intl Plc ADRs","United Kingdom","LN:MCRO","London Stock Exchange","Information Technology","$1,728,549,615","-1.21","0.54","0.56","4.67%","387,084","Analyze"
"IMCR","Immunocore Holdings plc ADRs","United Kingdom","PRIVATE","","Health Care","$1,664,747,066","0.00","43.00","7.85","0.00%","53,566","Analyze"
"JKS","JinkoSolar Holding ADRs","China","PRIVATE","","Information Technology","$1,646,242,800","0.00","0.31","0.12","0.00%","1,418,993","Analyze"
"FORTY","Formula Systems (1985) Ltd. ADRs","Israel","IT:FORTY","Tel Aviv Stock Exchange","Information Technology","$1,624,528,680","31.52","0.74","1.41","0.74%","5,515","Analyze"
"ELP","Comp. Paranaense de Energia-COPEL ADRs","Brazil","BS:CPLE6","XBSP","Utilities","$1,596,248,951","24.98","0.44","0.08","1.21%","1,346,861","Analyze"
"MOR","MorphoSys AG ADRs","Germany","GF:MOR","Frankfurt Stock Exchange","Health Care","$1,559,607,323","0.00","9.34","2.57","0.00%","54,788","Analyze"
"HEPS","D-MARKET Electronic Services & Trading ADRs","Turkey","PRIVATE","","Consumer Discretionary","$1,532,950,834","0.00","2.96","-1.09","0.00%","684,390","Analyze"
"TRMR","Tremor International Ltd. ADRs","Israel","LN:TRMR","London Stock Exchange","Communication Services","$1,511,710,842","65.60","6.67","3.07","0.00%","107,059","Analyze"
"CNTA","Centessa Pharmaceuticals Ltd ADRs","United Kingdom","PRIVATE","","Health Care","$1,506,714,262","0.00","0.00","2.51","0.00%","254,453","Analyze"
"OCFT","OneConnect Financial Technology Co., Ltd. ADRs","China","PRIVATE","","Information Technology","$1,470,275,702","0.00","2.51","0.33","0.00%","1,257,833","Analyze"
"BCYC","Bicycle Therapeutics plc  ADRs","United Kingdom","PRIVATE","","Health Care","$1,469,846,557","-22.50","130.27","9.77","0.00%","605,763","Analyze"
"NNDM","Nano Dimension Ltd. ADRs","Israel","IT:NNDM","Tel Aviv Stock Exchange","Information Technology","$1,465,626,576","-23.80","363.59","0.97","0.00%","4,761,661","Analyze"
"BZUN","Baozun Inc. ADRs","China","PRIVATE","","Consumer Discretionary","$1,450,464,025","3.56","0.16","0.24","0.00%","1,004,972","Analyze"
"KZIA","Kazia Therapeutics ADRs","Australia","AT:KZA","Asx - All Markets","Health Care","$1,425,520,638","0.00","0.00","44.59","0.00%","26,376","Analyze"
