"Symbol","Name","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","P/E","P/S","P/B","Current yield","Avg Volume","Action"
"JFIN","Jiayin Group Inc. ADRs of class A","China","PRIVATE","","Information Technology","$212,858,500","3.49","0.86","-1.00","0.00%","402,966","Analyze"
"XNET","Xunlei Limited ADRs","China","PRIVATE","","Information Technology","$210,853,427","21.11","1.04","0.70","0.00%","236,860","Analyze"
"NCTY","The9  Limited ADRs","China","PRIVATE","","Information Technology","$208,483,253","1.03","258.27","0.25","0.00%","1,023,521","Analyze"
"NTZ","Natuzzi S.p.A. ADRs","Italy","PRIVATE","","Consumer Discretionary","$203,065,973","0.00","0.44","2.46","0.00%","22,743","Analyze"
"EDAP","Edap TMS SA ADRs","France","PRIVATE","","Health Care","$202,223,968","6,241.30","2.42","4.20","0.00%","51,590","Analyze"
"FRSX","Foresight Autonomous Holdings Ltd. ADRs","Israel","IT:FRSX","Tel Aviv Stock Exchange","Real Estate","$188,428,777","0.00","0.00","3.39","0.00%","1,152,514","Analyze"
"CUK","Carnival PLC ADRs","United Kingdom","LN:CCL","London Stock Exchange","Consumer Discretionary","$187,707,200","-0.02","0.29","0.01","0.00%","1,523,728","Analyze"
"XYF","X Financial ADRs of Class A","China","PRIVATE","","Financials","$187,179,894","0.00","0.62","0.07","10.53%","181,381","Analyze"
"SUPV","Grupo Supervielle SA ADRs of Class B","Argentina","PRIVATE","","Financials","$186,432,512","17.43","0.42","0.00","1.12%","302,515","Analyze"
"TRVG","Trivago NV ADRs","The Netherlands","PRIVATE","","Information Technology","$180,074,177","0.00","0.68","0.27","0.00%","661,620","Analyze"
"HYW","Hywin Holdings Ltd. ADRs","China","PRIVATE","","Financials","$179,760,000","0.00","0.00","0.00","0.00%","13,113","Analyze"
"VIOT","Viomi Technology Co. ADRs","China","PRIVATE","","Information Technology","$178,433,775","10.10","0.18","0.11","1.98%","200,313","Analyze"
"LITB","LightInTheBox ADRs","China","PRIVATE","","Consumer Discretionary","$177,077,680","12.18","0.38","2.97","0.00%","359,198","Analyze"
"CLGN","CollPlant Holdings ADRs","Israel","IT:CLPT","Tel Aviv Stock Exchange","Health Care","$176,952,224","0.00","8.89","0.00","0.00%","10,563","Analyze"
"QTT","Qutoutiao Inc. ADRs","China","PRIVATE","","Communication Services","$172,961,470","0.00","0.22","-0.11","0.00%","533,783","Analyze"
"VIAO","VIA optronics AG ADRs","Germany","PRIVATE","","Information Technology","$169,788,020","0.00","0.84","2.27","0.00%","5,280","Analyze"
"TOUR","Tuniu Corp ADRs","China","PRIVATE","","Consumer Discretionary","$168,345,503","0.00","2.24","0.13","0.00%","147,214","Analyze"
"SQNS","Sequans Communications S.A. ADRs","France","PRIVATE","","Information Technology","$167,786,065","-5.28","3.05","-8.72","0.00%","80,801","Analyze"
"GNFT","GENFIT S.A. ADRs","France","FP:GNFT","Euronext Paris","Health Care","$166,164,158","-1.69","17.95","5.19","0.00%","4,708","Analyze"
"OIIM","O2Micro International ADRs","Hong Kong","PRIVATE","","Information Technology","$164,977,155","13.49","1.74","1.89","0.00%","85,110","Analyze"
"ERYP","Erytech Pharma S.A. ADRs","France","FP:ERYP","Euronext Paris","Health Care","$164,433,249","0.00","0.00","4.53","0.00%","30,665","Analyze"
"LBPS","4D pharma plc ADRs","United Kingdom","LN:DDDD","London Stock Exchange","Health Care","$162,270,871","-24.63","295.04","4.26","0.00%","25,543","Analyze"
"BQ","Boqii Holding Limited ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$158,428,178","0.00","0.92","0.94","0.00%","173,086","Analyze"
"EVAX","Evaxion Biotech A/S ADRs","Denmark","PRIVATE","","Health Care","$158,389,011","0.00","0.00","-4.15","0.00%","31,918","Analyze"
"HX","Hexindai Inc. ADRs","China","PRIVATE","","Financials","$154,856,323","-3.98","8.93","17.79","2.84%","4,844,738","Analyze"
"JG","Aurora Mobile Limited ADRs","China","PRIVATE","","Information Technology","$152,481,605","0.00","2.56","0.58","0.00%","319,675","Analyze"
"LEJU","Leju Holdings ADRs","China","PRIVATE","","Real Estate","$151,843,488","8.08","0.15","0.62","18.02%","34,349","Analyze"
"BFRA","Biofrontera AG ADRs","Germany","PRIVATE","","Health Care","$151,719,008","0.00","4.77","6.93","0.37%","6,076","Analyze"
"WKEY","WISeKey International Holding AG ADRs","Switzerland","SE:WIHN","Six Swiss Exchange","Information Technology","$147,031,402","-6.67","6.31","10.29","0.00%","426,246","Analyze"
"EDN","Edenor ADRs","Argentina","AF:EDN","Bolsa de Comercio de Buenos Aires","Utilities","$146,592,741","0.00","0.16","0.00","0.00%","31,763","Analyze"
"ORPH","Orphazyme A/S ADRs","Denmark","DC:ORPHA","Omx Nordic Exchange Copenhagen A/S","Health Care","$145,750,845","0.00","0.00","0.86","0.00%","1,971,463","Analyze"
"TLSA","Tiziana Life Sciences plc  ADRs","United Kingdom","LN:TILS","London Stock Exchange","Health Care","$143,040,033","0.00","0.00","4.58","0.00%","121,062","Analyze"
"YQ","17 Education & Technology Group Inc. ADRs","China","PRIVATE","","Consumer Discretionary","$142,133,897","0.00","0.47","0.11","0.00%","1,228,034","Analyze"
"BLRX","BioLineRX Ltd. ADRs","Israel","IT:BLRX","Tel Aviv Stock Exchange","Health Care","$137,096,746","0.00","0.00","1.83","0.00%","458,519","Analyze"
"NCNA","NuCana plc ADRs","United Kingdom","PRIVATE","","Health Care","$135,621,314","0.00","0.00","1.60","0.00%","5,253,347","Analyze"
"ARBK","Argo Blockchain Plc ADRs","United Kingdom","LN:ARB","London Stock Exchange","Financials","$133,725,000","0.00","0.00","0.00","0.00%","679,290","Analyze"
"BWAY","Brainsway Ltd. ADRs","Israel","IT:BRIN","Tel Aviv Stock Exchange","Information Technology","$128,817,727","-22.21","4.92","2.25","0.00%","23,654","Analyze"
"IH","iHuman Inc. ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$125,565,317","0.00","1.01","0.19","0.00%","22,069","Analyze"
"KUKE","Kuke Music Holding Limited ADRs","China","PRIVATE","","Consumer Discretionary","$116,858,081","-6.62","0.48","0.13","0.00%","9,403","Analyze"
"LXEH","Lixiang Education Holding Co., Ltd.  ADRs","China","PRIVATE","","Consumer Discretionary","$113,600,568","5.41","0.69","0.29","0.00%","1,852","Analyze"
"LIZI","LIZHI INC. ADRs of Class A","China","PRIVATE","","Communication Services","$111,868,198","0.00","0.39","0.46","0.00%","549,812","Analyze"
"YJ","Yunji Inc. ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$110,615,390","0.00","0.19","0.10","0.00%","281,280","Analyze"
"QH","Quhuo Limited ADRs of Class A","China","PRIVATE","","Information Technology","$108,330,018","0.00","0.23","0.20","0.00%","80,263","Analyze"
"CMMB","Chemomab Therapeutics Ltd.  ADRs","Israel","PRIVATE","","Health Care","$105,885,590","0.00","0.00","1.68","0.00%","78,828","Analyze"
"HUIZ","Huize Holding Limited ADRs of Class A","China","PRIVATE","","Financials","$103,066,738","0.00","0.39","0.26","0.00%","154,010","Analyze"
"CIH","China Index Holdings Limited ADRs","China","PRIVATE","","Industrials","$102,937,713","0.34","0.16","0.31","0.00%","19,157","Analyze"
"AIH","Aesthetic Medical International Holdings Group Ltd. ADRs","China","PRIVATE","","Health Care","$102,178,864","0.00","0.56","0.24","0.00%","20,451","Analyze"
"MITC","MeaTech 3D Ltd. - ADRs","Israel","IT:MITC","Tel Aviv Stock Exchange","Consumer Staples","$90,073,405","0.00","418.31","2.05","0.00%","95,877","Analyze"
"MOGU","MOGU Inc. ADRs Class A","China","PRIVATE","","Consumer Discretionary","$87,132,179","0.00","1.26","0.07","0.00%","90,779","Analyze"
"BPTS","Biophytis SA ADRs","France","FP:ALBPS","Euronext Paris","Health Care","$83,683,738","0.00","0.00","10.98","0.00%","1,570","Analyze"
"BLCT","BlueCity Holdings Limited ADRs","China","PRIVATE","","Information Technology","$82,098,626","0.00","0.46","0.13","0.00%","177,992","Analyze"
"AACG","ATA Creativity Global ADRs","China","PRIVATE","","Consumer Discretionary","$81,155,041","0.00","2.92","0.35","0.00%","74,116","Analyze"
"AKTX","Akari Therapeutics PLC ADRs","United Kingdom","PRIVATE","","Health Care","$80,829,786","0.00","0.00","51.85","0.00%","105,503","Analyze"
"MITO","Stealth BioTherapeutics Corp. ADRs","Cayman Islands","PRIVATE","","Health Care","$79,464,285","0.00","0.00","-2.76","0.00%","199,274","Analyze"
"PPBT","Purple Biotech Ltd. ADRs","Israel","IT:KTOV","Tel Aviv Stock Exchange","Health Care","$78,918,892","-5.92","157.84","1.14","0.00%","82,867","Analyze"
"CYAD","Celyad SA ADRs","Belgium","BB:CYAD","Nyse Euronext - Euronext Brussels","Health Care","$76,695,082","0.00","7,754.32","3.12","0.00%","31,635","Analyze"
"BEDU","Bright Scholar Education Holdings Limited ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$73,648,270","14.12","0.12","0.02","4.17%","38,184","Analyze"
"LOV","Spark Networks Inc. ADRs","Germany","PRIVATE","","Information Technology","$72,387,247","-0.99","0.21","1.88","0.00%","97,638","Analyze"
"CMCM","Cheetah Mobile ADRs","China","PRIVATE","","Information Technology","$72,187,994","4.04","0.44","0.02","25.00%","147,797","Analyze"
"CCM","Concord Medical Services ADRs","China","PRIVATE","","Health Care","$70,659,886","0.00","0.19","-0.35","0.00%","4,345","Analyze"
"ADXN","Addex Therapeutics Ltd ADRs","Switzerland","SE:ADXN","Six Swiss Exchange","Health Care","$67,339,704","-5.28","18.28","4.11","0.00%","1,565","Analyze"
"LGHL","Lion Group Holding Ltd. ADRs","China","PRIVATE","","Financials","$67,161,532","29.65","2.61","1.65","0.00%","1,507,836","Analyze"
"VJET","voxeljet AG ADRs","Germany","PRIVATE","","Information Technology","$66,964,556","0.00","2.53","2.58","0.00%","41,512","Analyze"
"SECO","Secoo Holding Limited ADRs","China","PRIVATE","","Consumer Discretionary","$65,561,063","16.04","0.01","0.03","0.00%","110,226","Analyze"
"CTK","CooTek (Cayman) Inc. ADRs of Class A","China","PRIVATE","","Information Technology","$64,826,020","-1.30","0.17","-4.90","0.00%","158,770","Analyze"
"XIN","Xinyuan Real Estate ADRs","China","PRIVATE","","Real Estate","$61,748,934","-7.17","0.03","0.08","2.17%","361,136","Analyze"
"ASLN","ASLAN Pharmaceuticals Limited ADRs","Singapore","PRIVATE","","Health Care","$61,165,500","0.00","0.00","0.79","0.00%","2,132,828","Analyze"
"UCL","uCloudlink Group Inc. ADRs","Hong Kong","PRIVATE","","Communication Services","$60,959,209","-1.31","0.85","1.46","0.00%","51,934","Analyze"
"KRKR","36Kr Holdings Inc. ADRs","China","PRIVATE","","Communication Services","$59,356,641","0.00","1.05","0.19","0.00%","229,898","Analyze"
"RYB","RYB Education ADRs of Class A","China","PRIVATE","","Consumer Staples","$59,228,778","8.76","0.35","0.78","0.00%","19,195","Analyze"
"APOP","Cellect Biotechnology Ltd. ADRs","Israel","PRIVATE","","Health Care","$58,446,890","0.00","0.00","9.88","0.00%","578,701","Analyze"
"ATHE","Alterity Therapeutics Limited ADRs","Australia","AT:PBT","Asx - All Markets","Health Care","$53,753,532","0.00","0.00","1.72","0.00%","199,090","Analyze"
"TEDU","Tarena International ADRs","China","PRIVATE","","Consumer Discretionary","$51,847,490","0.00","0.14","-0.04","0.00%","294,144","Analyze"
"DUO","Fangdd Network Group Ltd. ADRs","China","PRIVATE","","Communication Services","$50,645,303","0.00","0.15","0.05","0.00%","681,753","Analyze"
"FEDU","Four Seasons Education (Cayman) Inc.  ADRs","China","PRIVATE","","Consumer Staples","$47,650,262","-1.72","0.17","0.07","8.04%","1,243,035","Analyze"
"GENE","Genetic Technologies ADRs","Australia","AT:GTG","Asx - All Markets","Health Care","$46,130,451","0.00","0.00","2.15","0.00%","103,719","Analyze"
"FWP","Forward Pharma ADRs","Denmark","PRIVATE","","Health Care","$45,418,089","0.00","0.00","0.62","0.00%","64,628","Analyze"
"ANTE","AirNet Technology Inc. ADRs","China","PRIVATE","","Health Care","$43,278,386","-2.18","0.96","-33.55","0.00%","22,949","Analyze"
"FENG","Phoenix New Media ADRs","China","PRIVATE","","Communication Services","$42,731,084","1.47","0.24","0.03","114.27%","138,357","Analyze"
"TRIB","Trinity Biotech PLC ADRs of Class A shares","Ireland","PRIVATE","","Health Care","$42,430,457","-22.90","0.37","-86.81","0.00%","124,207","Analyze"
"FHS","First High-School Education Group Co., Ltd. ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$41,930,112","11.09","0.34","0.31","0.00%","238,244","Analyze"
"ONE","OneSmart International Education Group Limited ADRs","China","PRIVATE","","Consumer Discretionary","$41,732,398","-0.04","0.01","0.36","0.00%","3,967,357","Analyze"
"NEW","Puxin Limited ADRs","China","PRIVATE","","Consumer Discretionary","$41,422,662","0.87","0.01","0.09","0.00%","3,323,796","Analyze"
"REDU","RISE Education Cayman Ltd ADRs","China","PRIVATE","","Consumer Discretionary","$40,215,829","-0.77","0.04","0.09","0.00%","828,721","Analyze"
"WAVE","Eco Wave Power Global AB ADRs","Sweden","PRIVATE","","Utilities","$40,055,252","0.00","0.00","0.53","0.00%","18,591","Analyze"
"PT","Pintec Technology Holdings Limited ADRs of Class A","China","PRIVATE","","Information Technology","$40,025,286","-0.04","0.04","-0.38","0.00%","595,593","Analyze"
"MRM","MEDIROM Healthcare Technologies Inc. ADRs","Japan","PRIVATE","","Consumer Discretionary","$38,158,250","-0.23","0.01","0.10","0.00%","2,590,459","Analyze"
"JP","Jupai Holdings Limited ADRs","China","PRIVATE","","Financials","$37,756,665","0.00","0.66","0.04","0.00%","261,436","Analyze"
"SFUN","Fang Holdings ADRs","China","PRIVATE","","Communication Services","$37,536,130","-5.75","0.17","0.06","7.01%","2,687","Analyze"
"QK","Q&K International Group Limited ADRs","China","PRIVATE","","Real Estate","$37,317,065","0.00","0.15","-0.02","0.00%","155,452","Analyze"
"MTP","Midatech Pharma PLC ADRs","United Kingdom","LN:MTPH","London Stock Exchange","Health Care","$36,433,302","0.00","1.62","9.45","0.00%","112,399","Analyze"
"TC","TuanChe Limited ADRs","China","PRIVATE","","Information Technology","$35,704,481","0.00","0.48","0.14","0.00%","40,873","Analyze"
"SFET","Safe-T Group Ltd. ADRs","Israel","IT:SFET","Tel Aviv Stock Exchange","Information Technology","$33,250,430","-3.81","5.68","1.35","0.00%","204,283","Analyze"
"ANPC","AnPac Bio-Medical Science Co., Ltd. ADRs of Class A","China","PRIVATE","","Health Care","$32,036,845","0.00","14.59","1.51","0.00%","87,427","Analyze"
"COE","China Online Education ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$31,889,082","8.39","0.09","-0.04","0.00%","587,664","Analyze"
"DXF","Dunxin Financial Holdings Limited ADRs","China","PRIVATE","","Financials","$31,318,782","3.22","1.33","0.07","0.00%","98,438","Analyze"
"CANF","Can-Fite BioPharma Ltd. ADRs","Israel","IT:CFBI","Tel Aviv Stock Exchange","Health Care","$31,303,807","-2.96","41.24","7.92","0.00%","143,690","Analyze"
"AMBO","Ambow Education Holding Ltd. ADRs of Class A","China","PRIVATE","","Consumer Staples","$30,202,759","0.00","0.33","0.21","0.00%","64,741","Analyze"
"BNTC","Benitec Biopharma ADRs","Australia","AT:BLT","Asx - All Markets","Health Care","$30,071,819","-2.10","509.69","1.45","0.00%","58,615","Analyze"
"MDGS","Medigus Ltd. ADRs","Israel","IT:MDGS","Tel Aviv Stock Exchange","Health Care","$29,645,631","-3.47","66.92","0.59","0.00%","345,669","Analyze"
"MFH","JMU Limited ADRs","China","PRIVATE","","Consumer Discretionary","$29,519,609","-5.34","18.89","3.15","0.00%","331,190","Analyze"
"JT","Jianpu Technology Inc.  ADRs of Class A","China","PRIVATE","","Financials","$27,971,811","0.00","0.02","0.03","0.00%","146,637","Analyze"
"WEI","Weidai Ltd. ADRs of Class A","China","PRIVATE","","Financials","$27,713,952","0.00","0.06","0.03","0.00%","186,659","Analyze"
"BVXV","BiondVax Pharmaceuticals Ltd. ADRs","Israel","PRIVATE","","Health Care","$27,248,722","0.00","0.00","2.36","0.00%","77,412","Analyze"
"LAIX","LAIX Inc. ADRs of Class A","China","PRIVATE","","Consumer Staples","$26,376,831","0.00","0.20","-0.04","0.00%","135,533","Analyze"
"XTLB","XTL Biopharmaceuticals ADRs","Israel","IT:XTLB","Tel Aviv Stock Exchange","Health Care","$21,126,244","0.00","0.00","6.49","0.00%","31,188","Analyze"
"IMRN","Immuron Limited ADRs","Australia","AT:IMC","Asx - All Markets","Health Care","$21,077,122","0.00","8.77","0.79","0.00%","169,011","Analyze"
"STG","Sunlands Online Education Group ADRs of Class A","China","PRIVATE","","Consumer Staples","$16,795,668","0.00","0.04","-0.01","0.00%","51,152","Analyze"
"JRJC","China Finance Online ADRs","China","PRIVATE","","Financials","$15,335,509","-1.75","0.38","3.97","0.00%","407,797","Analyze"
"MOHO","ECMOHO Limited ADRs","China","PRIVATE","","Consumer Discretionary","$10,353,196","-0.75","0.05","0.15","0.00%","216,955","Analyze"
"BSBR#","Banco Santander Brasil SA American Depositary Shares (each representing one unit) Ex-Distribution When Issued","usa","","","Unknown","$0","0.00","0.00","0.00","0.00%","0","Analyze"
