"Symbol","Name","Category","Issuing Symbol","Country of incorporation","GICS Sector","Market cap","Average Volume","Action"
"CBAT","Cbak Energy Technology, Inc.","Common stocks","","","Information Technology","$198,041,052","1,037,928","Analyze"
"XYF","X Financial ADRs of Class A","ADRs","Privately held","","Financials","$187,179,894","181,381","Analyze"
"HYW","Hywin Holdings Ltd. ADRs","ADRs","Privately held","","Financials","$179,760,000","13,113","Analyze"
"VIOT","Viomi Technology Co. ADRs","ADRs","Privately held","","Information Technology","$178,433,775","200,313","Analyze"
"LITB","LightInTheBox ADRs","ADRs","Privately held","Hong Kong","Consumer Discretionary","$177,077,680","359,198","Analyze"
"QTT","Qutoutiao Inc. ADRs","ADRs","Privately held","","Communication Services","$172,961,470","533,783","Analyze"
"TOUR","Tuniu Corp ADRs","ADRs","Privately held","Cayman Islands","Consumer Discretionary","$168,345,503","147,214","Analyze"
"BQ","Boqii Holding Limited ADRs of Class A","ADRs","Privately held","","Consumer Discretionary","$158,428,178","173,086","Analyze"
"CNEY","CN Energy Group Inc.","Common stocks","","","Materials","$155,645,654","342,145","Analyze"
"FTFT","Future Fintech Group Inc.","Common stocks","","","Information Technology","$155,549,066","1,316,173","Analyze"
"HX","Hexindai Inc. ADRs","ADRs","Privately held","Cayman Islands","Financials","$154,856,323","4,844,738","Analyze"
"JG","Aurora Mobile Limited ADRs","ADRs","Privately held","","Information Technology","$152,481,605","319,675","Analyze"
"LEJU","Leju Holdings ADRs","ADRs","Privately held","","Real Estate","$151,843,488","34,349","Analyze"
"JWEL","Jowell Global Ltd.","Common stocks","","Canada","Consumer Discretionary","$149,182,266","59,672","Analyze"
"YQ","17 Education & Technology Group Inc. ADRs","ADRs","Privately held","","Consumer Discretionary","$142,133,897","1,228,034","Analyze"
"HUDI","Huadi International Group Co., Ltd.","Common stocks","","","Materials","$141,400,500","329,682","Analyze"
"QLI","Qilian International Holding Group Ltd","Common stocks","","","Health Care","$140,140,000","15,835","Analyze"
"IH","iHuman Inc. ADRs of Class A","ADRs","Privately held","","Consumer Discretionary","$125,565,317","22,069","Analyze"
"GSMG","Glory Star New Media Group Holdings Limited","Common stocks","","","Communication Services","$117,538,695","286,515","Analyze"
"KUKE","Kuke Music Holding Limited ADRs","ADRs","Privately held","","Consumer Discretionary","$116,858,081","9,403","Analyze"
"LXEH","Lixiang Education Holding Co., Ltd.  ADRs","ADRs","Privately held","","Consumer Discretionary","$113,600,568","1,852","Analyze"
"LIZI","LIZHI INC. ADRs of Class A","ADRs","Privately held","","Communication Services","$111,868,198","549,812","Analyze"
"YJ","Yunji Inc. ADRs of Class A","ADRs","Privately held","","Consumer Discretionary","$110,615,390","281,280","Analyze"
"QH","Quhuo Limited ADRs of Class A","ADRs","Privately held","","Information Technology","$108,330,018","80,263","Analyze"
"DOGZ","Dogness (International) Corporation Class A","Common stocks","","","Consumer Staples","$104,575,593","689,227","Analyze"
"EJH","E-Home Household Service Holdings Ltd","Common stocks","","","Industrials","$104,102,824","1,299,350","Analyze"
"SISI","Shineco, Inc.","Common stocks","","","Health Care","$104,077,454","5,628","Analyze"
"HUIZ","Huize Holding Limited ADRs of Class A","ADRs","Privately held","","Financials","$103,066,738","154,010","Analyze"
"CIH","China Index Holdings Limited ADRs","ADRs","Privately held","","Industrials","$102,937,713","19,157","Analyze"
"AIH","Aesthetic Medical International Holdings Group Ltd. ADRs","ADRs","Privately held","","Health Care","$102,178,864","20,451","Analyze"
"CAAS","China Automotive Systems Inc.","Common stocks","","","Consumer Discretionary","$101,193,825","30,103","Analyze"
"WNW","Wunong Net Technology Co Ltd","Common stocks","","","Consumer Discretionary","$95,250,000","121,639","Analyze"
"CGA","China Green Agriculture Inc.","Common stocks","","","Materials","$88,441,094","10,380","Analyze"
"MOGU","MOGU Inc. ADRs Class A","ADRs","Privately held","","Consumer Discretionary","$87,132,179","90,779","Analyze"
"AAME","Atlantic American Corp","Common stocks","","USA","Financials","$84,704,666","25,989","Analyze"
"BLCT","BlueCity Holdings Limited ADRs","ADRs","Privately held","","Information Technology","$82,098,626","177,992","Analyze"
"AACG","ATA Creativity Global ADRs","ADRs","Privately held","","Consumer Discretionary","$81,155,041","74,116","Analyze"
"OCG","Oriental Culture Holding LTD","Common stocks","","","Consumer Discretionary","$79,529,930","173,247","Analyze"
"PETZ","TDH Holdings Inc.","Common stocks","","","Consumer Staples","$78,578,493","221,940","Analyze"
"UK","Ucommune International Ltd","Common stocks","","","Real Estate","$77,937,707","116,700","Analyze"
"BEDU","Bright Scholar Education Holdings Limited ADRs of Class A","ADRs","Privately held","Hong Kong","Consumer Discretionary","$73,648,270","38,184","Analyze"
"RCON","Recon Technology, Ltd.","Common stocks","","","Energy","$72,892,070","1,705,491","Analyze"
"CMCM","Cheetah Mobile ADRs","ADRs","Privately held","Hong Kong","Information Technology","$72,187,994","147,797","Analyze"
"CCM","Concord Medical Services ADRs","ADRs","Privately held","","Health Care","$70,659,886","4,345","Analyze"
"GTEC","Greenland Technologies Holding Corporation","Common stocks","","","Industrials","$69,705,278","25,587","Analyze"
"LGHL","Lion Group Holding Ltd. ADRs","ADRs","Privately held","","Financials","$67,161,532","1,507,836","Analyze"
"SECO","Secoo Holding Limited ADRs","ADRs","Privately held","","Consumer Discretionary","$65,561,063","110,226","Analyze"
"CTK","CooTek (Cayman) Inc. ADRs of Class A","ADRs","Privately held","","Information Technology","$64,826,020","158,770","Analyze"
"FAMI","Farmmi Inc","Common stocks","","","Consumer Staples","$64,164,093","271,326,242","Analyze"
"DSWL","Deswell Industries Inc.","Common stocks","","","Consumer Discretionary","$63,979,985","8,250","Analyze"
"BRLI","Brilliant Acquisition Corporation","Common stocks","","","Financials","$62,026,650","3,879","Analyze"
"XIN","Xinyuan Real Estate ADRs","ADRs","Privately held","","Real Estate","$61,748,934","361,136","Analyze"
"ZKIN","Zk International Group Co., Ltd","Common stocks","","","Materials","$61,405,505","388,995","Analyze"
"CLPS","CLPS Inc","Common stocks","","","Information Technology","$61,202,460","142,273","Analyze"
"GLG","China Bat Group, Inc.","Common stocks","","","Financials","$60,151,548","280,341","Analyze"
"KRKR","36Kr Holdings Inc. ADRs","ADRs","Privately held","","Communication Services","$59,356,641","229,898","Analyze"
"PME","Pingtan Marine Enterprise Ltd.","Common stocks","","Australia","Consumer Staples","$59,290,672","267,859","Analyze"
"RYB","RYB Education ADRs of Class A","ADRs","Privately held","Cayman Islands","Consumer Staples","$59,228,778","19,195","Analyze"
"CSCW","Color Star Technology Co. Ltd.","Common stocks","","Cayman Islands","Information Technology","$58,269,843","5,494,617","Analyze"
"SEED","Origin Agritech Limited","Common stocks","","","Consumer Staples","$54,312,120","89,200","Analyze"
"CPOP","Pop Culture Group Co., Ltd","Common stocks","","","Communication Services","$53,175,554","478,650","Analyze"
"IFBD","Infobird Co., Ltd","Common stocks","","","Information Technology","$52,772,500","169,410","Analyze"
"MKD","Molecular Data Inc. ADRs of Class A","Common stocks","Privately held","","Information Technology","$51,854,850","20,330,250","Analyze"
"TEDU","Tarena International ADRs","ADRs","Privately held","","Consumer Discretionary","$51,847,490","294,144","Analyze"
"SDH","Global Internet of People, Inc.","Common stocks","","","Industrials","$51,744,000","9,606","Analyze"
"DUO","Fangdd Network Group Ltd. ADRs","ADRs","Privately held","","Communication Services","$50,645,303","681,753","Analyze"
"CCNC","Code Chain New Continent Limited","Common stocks","","","Industrials","$49,574,206","588,933","Analyze"
"UPC","Universe Pharmaceuticals Inc","Common stocks","","","Health Care","$49,350,000","146,857","Analyze"
"BAOS","Baosheng Media Group Holdings Limited","Common stocks","","","Communication Services","$48,865,509","210,533","Analyze"
"FEDU","Four Seasons Education (Cayman) Inc.  ADRs","ADRs","Privately held","","Consumer Staples","$47,650,262","1,243,035","Analyze"
"CNET","Chinanet Online Holdings Inc.","Common stocks","","","Information Technology","$46,992,460","2,215,953","Analyze"
"MDJH","MDJM LTD","Common stocks","","","Real Estate","$46,854,301","8,532","Analyze"
"PBTS","Powerbridge Technologies Co., Ltd.","Common stocks","","","Information Technology","$46,235,091","6,684,170","Analyze"
"CHNR","China Natural Resources Inc.","Common stocks","","","Materials","$45,537,698","67,137","Analyze"
"DTSS","Datasea Inc.","Common stocks","","","Industrials","$44,952,759","414,791","Analyze"
"JZXN","Jiuzi Holdings, Inc.","Common stocks","","","Consumer Discretionary","$44,939,057","1,465,748","Analyze"
"UTME","UTime Limited","Common stocks","","","Consumer Discretionary","$44,646,082","97,456","Analyze"
"PLIN","China Xiangtai Food Co., Ltd.","Common stocks","","","Consumer Staples","$44,621,973","53,657","Analyze"
"ANTE","AirNet Technology Inc. ADRs","ADRs","Privately held","","Health Care","$43,278,386","22,949","Analyze"
"METX","Meten EdtechX Education Group Ltd.","Common stocks","","","Consumer Discretionary","$43,055,311","33,968,792","Analyze"
"FENG","Phoenix New Media ADRs","ADRs","Privately held","Cayman Islands","Communication Services","$42,731,084","138,357","Analyze"
"FHS","First High-School Education Group Co., Ltd. ADRs of Class A","ADRs","Privately held","","Consumer Discretionary","$41,930,112","238,244","Analyze"
"ONE","OneSmart International Education Group Limited ADRs","ADRs","Privately held","","Consumer Discretionary","$41,732,398","3,967,357","Analyze"
"CREG","China Recycling Energy Corporation","Common stocks","","","Industrials","$41,652,696","73,211","Analyze"
"NEW","Puxin Limited ADRs","ADRs","Privately held","","Consumer Discretionary","$41,422,662","3,323,796","Analyze"
"REDU","RISE Education Cayman Ltd ADRs","ADRs","Privately held","","Consumer Discretionary","$40,215,829","828,721","Analyze"
"PT","Pintec Technology Holdings Limited ADRs of Class A","ADRs","Privately held","","Information Technology","$40,025,286","595,593","Analyze"
"PLAG","Planet Green Holdings Corp.","Common stocks","","","Consumer Staples","$39,180,148","920,161","Analyze"
"JP","Jupai Holdings Limited ADRs","ADRs","Privately held","","Financials","$37,756,665","261,436","Analyze"
"SFUN","Fang Holdings ADRs","ADRs","Privately held","","Communication Services","$37,536,130","2,687","Analyze"
"QK","Q&K International Group Limited ADRs","ADRs","Privately held","","Real Estate","$37,317,065","155,452","Analyze"
"AIHS","Senmiao Technology Limited","Common stocks","","","Financials","$36,598,259","3,596,884","Analyze"
"EEIQ","Elite Education Group International Ltd","Common stocks","","British Virgin Islands","Consumer Discretionary","$35,881,440","1,313,498","Analyze"
"TC","TuanChe Limited ADRs","ADRs","Privately held","","Information Technology","$35,704,481","40,873","Analyze"
"SNTG","Sentage Holdings Inc.","Common stocks","","","Financials","$34,580,000","1,121,406","Analyze"
"YGMZ","MingZhu Logistics Holdings Ltd","Common stocks","","","Industrials","$33,602,989","136,691","Analyze"
"FFHL","Fuwei Films (Holdings) Co. Ltd.","Common stocks","","","Consumer Discretionary","$32,984,954","6,863","Analyze"
"EZGO","EZGO Technologies Ltd.","Common stocks","","","Consumer Discretionary","$32,407,115","202,176","Analyze"
"ANPC","AnPac Bio-Medical Science Co., Ltd. ADRs of Class A","ADRs","Privately held","","Health Care","$32,036,845","87,427","Analyze"
"MTC","MMTec, Inc.","Common stocks","","","Financials","$31,902,400","87,765","Analyze"
"COE","China Online Education ADRs of Class A","ADRs","Privately held","","Consumer Discretionary","$31,889,082","587,664","Analyze"
"DXF","Dunxin Financial Holdings Limited ADRs","ADRs","Privately held","","Financials","$31,318,782","98,438","Analyze"
"BHAT","Blue Hat Interactive Entertainment Technology","Common stocks","","","Communication Services","$30,784,332","419,618","Analyze"
"AMBO","Ambow Education Holding Ltd. ADRs of Class A","ADRs","Privately held","","Consumer Staples","$30,202,759","64,741","Analyze"
