"Symbol","Name","Index Country","Country of incorporation","GICS Sector","Foreign issuer?","Russell 3000?","Market cap","Average Volume","Action"
"ELLO","Ellomay Capital Ltd","Israel","","Utilities","Yes","No","$340,088,287","3,416","Analyze"
"TK","Teekay Corp","Canada","Marshall Islands","Energy","Yes","Yes","$339,725,857","500,819","Analyze"
"REAX","The Real Brokerage, Inc.","Canada","","Real Estate","Yes","No","$329,455,365","88,755","Analyze"
"EBON","Ebang International Holdings Inc. - Class A","China","Cayman Islands","Information Technology","Yes","No","$318,789,879","2,512,338","Analyze"
"INCR","Intercure Ltd.","Israel","","Health Care","Yes","No","$314,914,784","291,271","Analyze"
"GAMB","Gambling.com Group Ltd","Jersey","","Consumer Discretionary","Yes","No","$314,061,660","1,214,769","Analyze"
"ICCM","IceCure Medical Ltd.","Israel","","Health Care","Yes","No","$309,780,482","51,252","Analyze"
"CRNT","Ceragon Networks Ltd","Israel","","Information Technology","Yes","No","$307,689,753","474,552","Analyze"
"BTNB","Bridgetown 2 Holdings Limited Class A","Hong Kong","","Financials","No","No","$297,804,000","108,511","Analyze"
"SILC","Silicom Ltd","Israel","","Information Technology","Yes","No","$295,299,242","10,280","Analyze"
"QTNT","Quotient Ltd","Switzerland","Jersey","Health Care","No","Yes","$288,513,115","563,516","Analyze"
"VNTR","Venator Materials PLC","United Kingdom","United Kingdom","Materials","No","No","$287,450,384","528,597","Analyze"
"NMG","Nouveau Monde Graphite Inc.","Canada","","Materials","Yes","No","$287,074,510","94,463","Analyze"
"RGC","Regencell Bioscience Holdings Ltd","Hong Kong","","Health Care","No","No","$280,022,626","1,807,778","Analyze"
"CCAC","CITIC Capital Acquisition Corp. Class A","China","","Financials","No","No","$275,034,000","162,429","Analyze"
"VECT","VectivBio Holding AG","Switzerland","","Health Care","Yes","No","$268,715,285","28,642","Analyze"
"ZENV","Zenvia Inc.","Brazil","","Information Technology","Yes","No","$263,325,120","241,074","Analyze"
"SRRA","Sierra Oncology","Canada","USA","Health Care","No","No","$260,633,322","29,369","Analyze"
"PRTG","Portage Biotech Inc.","Canada","British Virgin Islands","Health Care","Yes","Yes","$257,062,649","31,689","Analyze"
"IMUX","Immunic, Inc.","Germany","USA","Health Care","No","Yes","$254,882,053","134,317","Analyze"
"FLGC","Flora Growth Corp.","Canada","","Consumer Discretionary","Yes","No","$248,360,380","1,944,633","Analyze"
"ESEA","Euroseas Ltd.","Greece","","Industrials","Yes","No","$247,104,512","161,402","Analyze"
"ANY","Sphere 3D Corp.","Canada","","Information Technology","Yes","No","$240,429,566","44,680,897","Analyze"
"CBAT","Cbak Energy Technology, Inc.","China","","Information Technology","No","No","$238,710,197","1,188,790","Analyze"
"ACHL","Achilles Therapeutics plc","United Kingdom","","Health Care","Yes","No","$237,231,026","67,801","Analyze"
"GMDA","Gamida Cell Ltd.","Israel","Israel","Health Care","Yes","No","$236,000,612","541,300","Analyze"
"CTRM","Castor Maritime Inc.","Cyprus","","Industrials","Yes","No","$232,086,088","4,859,059","Analyze"
"CNTG","Centogene N.V.","Germany","The Netherlands","Health Care","Yes","No","$227,590,546","17,821","Analyze"
"SLGL","Sol-Gel Technologies Ltd.","Israel","","Health Care","Yes","No","$226,598,137","13,806","Analyze"
"SHIP","Seanergy Maritime Holdings Corp","Greece","","Industrials","Yes","No","$221,449,021","10,670,525","Analyze"
"GROY","Gold Royalty Corp.","Canada","","Materials","Yes","No","$215,182,128","1,399,951","Analyze"
"BRAG","Bragg Gaming Group Inc.","Canada","","Communication Services","Yes","No","$213,252,822","147,271","Analyze"
"TRMD","Torm Plc - Class A","United Kingdom","","Industrials","Yes","No","$210,898,132","20,095","Analyze"
"BRCN","Burcon NutraScience Corp","Canada","","Consumer Staples","Yes","No","$202,872,397","57,561","Analyze"
"AGMH","AGM Group Holdings Inc. Class A","China","British Virgin Islands","Financials","Yes","No","$202,656,812","114,008","Analyze"
"BORR","Borr Drilling Limited","Bermuda","","Energy","Yes","No","$199,762,220","922,158","Analyze"
"ATIF","ATIF Holdings Limited","China","","Financials","Yes","No","$194,150,250","2,299,218","Analyze"
"NETI","Eneti Inc.","Monaco","Marshall Islands","Industrials","Yes","No","$193,554,997","37,349","Analyze"
"NISN","NiSun Intl Enterprise Development Group Co, Ltd - Class A","China","","Industrials","Yes","No","$188,079,430","73,884","Analyze"
"EQOS","Diginex Limited","Hong Kong","","Financials","Yes","No","$180,010,146","410,288","Analyze"
"OBSV","ObsEva SA","Switzerland","","Health Care","Yes","No","$177,261,940","748,945","Analyze"
"ENLV","Enlivex Therapeutics Ltd.","Israel","","Health Care","Yes","No","$173,358,658","183,358","Analyze"
"NYMX","Nymox Pharmaceutical Corp","Canada","Bahamas","Health Care","Yes","No","$172,176,029","155,523","Analyze"
"IMCC","IM Cannabis Corp.","Canada","","Consumer Discretionary","Yes","No","$166,622,012","93,828","Analyze"
"ESGC","Eros STX Global Corporation A","Isle Of Man","Isle of Man","Communication Services","Yes","Yes","$166,007,724","3,723,618","Analyze"
"LVTX","LAVA Therapeutics N.V.","The Netherlands","","Health Care","Yes","No","$160,479,787","31,220","Analyze"
"FTFT","Future Fintech Group Inc.","China","","Information Technology","No","No","$159,753,095","4,961,585","Analyze"
"GAU","Galiano Gold Inc.","Canada","","Minerals","Yes","No","$159,709,852","789,519","Analyze"
"SRL","Scully Royalty Ltd.","Hong Kong","","Financials","Yes","No","$155,679,532","10,916","Analyze"
"RDCM","Radcom Ltd.","Israel","","Information Technology","Yes","No","$154,778,476","12,769","Analyze"
"GSMG","Glory Star New Media Group Holdings Limited","China","","Communication Services","Yes","No","$154,016,221","6,815,581","Analyze"
"VBLT","Vascular Biogenics Ltd.","Israel","","Health Care","Yes","No","$149,060,612","335,621","Analyze"
"JWEL","Jowell Global Ltd.","China","Canada","Consumer Discretionary","Yes","No","$148,436,355","118,129","Analyze"
"TNP","Tsakos Energy Navigation Ltd","Greece","","Industrials","Yes","No","$147,931,935","76,932","Analyze"
"QLI","Qilian International Holding Group Ltd","China","","Health Care","Yes","No","$144,787,500","26,068","Analyze"
"FRLN","Freeline Therapeutics Holdings plc  ADRs","United Kingdom","","Health Care","Yes","No","$143,569,388","251,739","Analyze"
"PYPD","PolyPid Ltd.","Israel","","Health Care","Yes","No","$140,744,964","26,341","Analyze"
"VEV","Vicinity Motor Corp.","Canada","","Consumer Discretionary","Yes","No","$137,195,596","23,480","Analyze"
"MAGS","Magal Security Systems Ltd.","Israel","","Industrials","Yes","No","$127,475,255","246,094","Analyze"
"SJ","Scienjoy Holding Corporation","Hong Kong","Canada","Communication Services","Yes","No","$126,750,119","102,736","Analyze"
"HTOO","Fusion Fuel Green PLC","Portugal","","Utilities","Yes","No","$121,692,882","66,899","Analyze"
"YTRA","Yatra Online, Inc.","India","","Consumer Discretionary","Yes","No","$118,776,224","216,608","Analyze"
"EPSN","Epsilon Energy Ltd.","Canada","Canada","Energy","No","No","$117,649,420","30,229","Analyze"
"SLHG","Skylight Health Group Inc.","Canada","","Health Care","Yes","No","$116,916,677","63,024","Analyze"
"WNW","Wunong Net Technology Co Ltd","China","","Consumer Discretionary","Yes","No","$116,750,000","142,394","Analyze"
"EVGN","Evogene Ltd.","Israel","","Health Care","Yes","No","$116,582,626","475,077","Analyze"
"BCTX","BriaCell Therapeutics Corp.","Canada","","Health Care","No","No","$115,438,047","2,123,973","Analyze"
"IFRX","InflaRx N.V.","Germany","","Health Care","Yes","No","$115,419,868","479,009","Analyze"
"EJH","E-Home Household Service Holdings Ltd","China","","Industrials","Yes","No","$114,513,106","1,415,596","Analyze"
"ASC","Ardmore Shipping Corp","Bermuda","Marshall Islands","Energy","Yes","No","$112,170,718","243,217","Analyze"
"PETZ","TDH Holdings Inc.","China","","Consumer Staples","Yes","No","$112,097,990","107,977","Analyze"
"ITRM","Iterum Therapeutics Plc","Ireland","","Health Care","No","No","$110,213,495","2,614,224","Analyze"
"CSCW","Color Star Technology Co. Ltd.","China","Cayman Islands","Information Technology","Yes","No","$109,503,370","1,789,273","Analyze"
"CNEY","CN Energy Group Inc.","China","","Materials","Yes","No","$107,285,777","19,499","Analyze"
"CAAS","China Automotive Systems Inc.","China","","Consumer Discretionary","No","No","$104,279,003","35,998","Analyze"
"VVPR","Vivopower International Plc","United Kingdom","United Kingdom","Utilities","Yes","No","$103,078,776","215,643","Analyze"
"GASS","StealthGas Inc.","Greece","","Industrials","Yes","No","$101,842,981","70,781","Analyze"
"MDWD","Mediwound Ltd.","Israel","Israel","Health Care","Yes","No","$95,328,632","89,823","Analyze"
"DPRO","Draganfly Inc.","Canada","","Industrials","Yes","No","$93,037,851","698,793","Analyze"
"VSTA","Vasta Platform Limited - Class A","Brazil","","Consumer Discretionary","Yes","No","$91,948,685","62,476","Analyze"
"OCG","Oriental Culture Holding LTD","China","","Consumer Discretionary","Yes","No","$87,912,262","939,602","Analyze"
"GAME","Engine Media Holdings, Inc.","Canada","","Communication Services","Yes","No","$86,576,231","169,474","Analyze"
"EDRY","Eurodry Ltd.","Greece","","Industrials","Yes","No","$86,317,809","59,800","Analyze"
"VQS","VIQ Solutions Inc.","Canada","","Information Technology","Yes","No","$85,565,202","315,532","Analyze"
"BRQS","Borqs Technologies Inc.","Chile","","Information Technology","Yes","No","$83,815,779","3,436,856","Analyze"
"RCON","Recon Technology, Ltd.","China","","Energy","Yes","No","$81,679,909","1,817,155","Analyze"
"WKSP","Worksport, Ltd","Canada","","Consumer Discretionary","No","No","$78,799,708","915,431","Analyze"
"CGA","China Green Agriculture Inc.","China","","Materials","No","No","$77,831,558","12,913","Analyze"
"UK","Ucommune International Ltd","China","","Real Estate","Yes","No","$76,690,704","112,775","Analyze"
"NM","Navios Maritime Inc","Monaco","Marshall Islands","Industrials","Yes","No","$75,511,054","1,077,963","Analyze"
"GLMD","Galmed Pharmaceuticals Ltd.","Israel","","Health Care","Yes","No","$75,251,742","109,203","Analyze"
"SBET","SharpLink Gaming Ltd.","Israel","","Consumer Discretionary","Yes","No","$74,820,199","1,719,472","Analyze"
"GLG","China Bat Group, Inc.","China","","Financials","No","No","$73,355,062","592,169","Analyze"
"DOGZ","Dogness (International) Corporation Class A","China","","Consumer Staples","Yes","No","$72,284,546","258,997","Analyze"
"GTEC","Greenland Technologies Holding Corporation","China","","Industrials","No","No","$71,752,089","33,276","Analyze"
"ZKIN","Zk International Group Co., Ltd","China","","Materials","Yes","No","$70,147,261","1,260,027","Analyze"
"EEIQ","Elite Education Group International Ltd","China","","Consumer Discretionary","Yes","No","$67,766,400","2,314,154","Analyze"
"IFBD","Infobird Co., Ltd","China","","Information Technology","Yes","No","$65,902,500","129,303","Analyze"
"DSWL","Deswell Industries Inc.","China","","Consumer Discretionary","Yes","No","$64,378,366","11,396","Analyze"
"MNDO","Mind Cti Ltd","Israel","Israel","Information Technology","Yes","No","$63,556,925","26,885","Analyze"
"PME","Pingtan Marine Enterprise Ltd.","China","Australia","Consumer Staples","No","No","$63,492,489","193,237","Analyze"
"NNA","Navios Maritime Acquisition Corp","Monaco","Marshall Islands","Energy","Yes","No","$62,926,028","2,431,424","Analyze"
"OBAS","Optibase Ltd.","Israel","","Real Estate","Yes","No","$61,812,634","3,017","Analyze"
"BRLI","Brilliant Acquisition Corporation","China","","Financials","No","No","$61,721,100","14,871","Analyze"
"PBTS","Powerbridge Technologies Co., Ltd.","China","","Information Technology","Yes","No","$60,883,833","4,507,989","Analyze"
"CPOP","Pop Culture Group Co., Ltd","China","","Communication Services","Yes","No","$59,686,846","1,445,927","Analyze"
"AGBA","AGBA Acquisition Limited","Hong Kong","","Financials","No","No","$57,704,969","4,913","Analyze"
"CLPS","CLPS Inc","China","","Information Technology","Yes","No","$57,505,827","82,094","Analyze"
"HUDI","Huadi International Group Co., Ltd.","China","","Materials","Yes","No","$57,485,250","38,409","Analyze"
"BAOS","Baosheng Media Group Holdings Limited","China","","Communication Services","Yes","No","$57,351,137","187,218","Analyze"
"NBRV","Nabriva Therapeutics Plc","Ireland","Ireland","Health Care","No","No","$57,199,715","806,713","Analyze"
"JZXN","Jiuzi Holdings, Inc.","China","","Consumer Discretionary","Yes","No","$56,786,626","305,024","Analyze"
"TOPS","Top Ships Inc.","Greece","","Industrials","Yes","No","$56,561,400","977,954","Analyze"
"MDJH","MDJM LTD","China","","Real Estate","Yes","No","$55,875,936","18,261","Analyze"
"SDH","Global Internet of People, Inc.","China","","Industrials","Yes","No","$55,104,000","21,579","Analyze"
"CCNC","Code Chain New Continent Limited","China","","Industrials","No","No","$54,954,352","283,741","Analyze"
"VMAR","Vision Marine Technologies Inc.","Canada","","Consumer Discretionary","Yes","No","$54,710,800","91,400","Analyze"
"UTME","UTime Limited","China","","Consumer Discretionary","Yes","No","$50,846,927","237,497","Analyze"
"TATT","Tat Technologies Ltd.","Israel","","Industrials","Yes","No","$49,848,280","12,935","Analyze"
