"Symbol","Name","Index Country","Country of incorporation","Cross-list symbol","Cross-list exchange","Foreign filer?","GICS Sector","Market cap","Average Volume","Action"
"AUPH","Aurinia Pharmaceuticals Inc","Canada","Canada","CT:AUP","Toronto Stock Exchange","Yes","Health Care","$2,558,930,825","3,025,287","Analyze"
"AUXXF","Allegiant Gold Ltd.","Canada","","CV:AUAU","TSX Venture Exchange","No","Materials","$21,788,374","42,196","Analyze"
"AUY","Yamana Gold Inc.","Canada","Canada","CT:YRI","Toronto Stock Exchange","Yes","Materials","$4,131,751,600","11,752,134","Analyze"
"AVCNF","Avicanna Inc","Canada","","CT:AVCN","Toronto Stock Exchange","No","Unknown","$26,413,807","105","Analyze"
"AVLNF","Avalon Advanced Materials Inc.","Canada","","CT:AVL","Toronto Stock Exchange","No","Materials","$34,561,072","36,700","Analyze"
"AVTBF","Avant Brands Inc","Canada","","CT:AVNT","Toronto Stock Exchange","No","Communication Services","$72,293,152","1,607,275","Analyze"
"AWCMF","Alumina Limited","Australia","","AT:AWC","Asx - All Markets","No","Materials","$4,932,858,409","0","Analyze"
"AXAHF","AXA SA","France","","FP:CS","Euronext Paris","No","Financials","$66,948,210,596","3,411","Analyze"
"AXDDF","Azucar Minerals Ltd.","Canada","","CV:AMZ","TSX Venture Exchange","No","Materials","$5,611,006","76,549","Analyze"
"AXNVF","Axion Ventures Inc","Canada","","CV:AXV","TSX Venture Exchange","No","Unknown","$255,894","1,550","Analyze"
"AXU","Alexco Resource Corp","Canada","","CT:AXU","Toronto Stock Exchange","Yes","Materials","$259,562,316","684,343","Analyze"
"AYRWF","Ayr Strategies Inc.","Canada","","CF:AYR","Canadian Securities Exchange","No","Consumer Discretionary","$1,114,302,220","0","Analyze"
"BABYF","Else Nutrition Holdings Inc","Canada","","CV:BABY","TSX Venture Exchange","No","Consumer Staples","$150,661,127","121,649","Analyze"
"BAM","Brookfield Asset Management Inc.","Canada","Canada","CT:BAM-A","Toronto Stock Exchange","Yes","Financials","$96,207,283,210","1,593,384","Analyze"
"BAMR","Brookfield Asset Management Reinsurance Partners Ltd. Class A","Canada","Bermuda","CT:BAMR","Toronto Stock Exchange","Yes","Financials","$654,963,718","23,157","Analyze"
"BAP","Credicorp Ltd","Peru","Bermuda","PE:BAP","Bolsa De Valores De Lima","Yes","Financials","$12,527,364,935","524,422","Analyze"
"BAYZF","Beyer AG","Germany","Germany","GF:BAYN","Frankfurt Stock Exchange","Yes","Health Care","$54,298,579,012","853","Analyze"
"BB","Blackberry Limited","Canada","Canada","CT:BB","Toronto Stock Exchange","No","Information Technology","$6,531,782,147","11,618,614","Analyze"
"BBKCF","BIGG Digital Assets Inc.","Canada","","CF:BIGG","Canadian Securities Exchange","No","Financials","$183,640,869","17,316,515","Analyze"
"BBRYF","Burberry Group Plc","United Kingdom","","LN:BRBY","London Stock Exchange","No","Consumer Discretionary","$10,219,510,569","61,643","Analyze"
"BBSRF","Bluestone Resources Inc.","Canada","","CV:BSR","TSX Venture Exchange","No","Unknown","$197,173,104","35,545","Analyze"
"BCE","BCE, Inc.","Canada","Canada","CT:BCE","Toronto Stock Exchange","Yes","Communication Services","$46,544,818,438","885,522","Analyze"
"BCEKF","Bear Creek Mining Corporation","Canada","","CV:BCM","TSX Venture Exchange","No","Materials","$135,457,714","82,884","Analyze"
"BDRAF","Bombardier Inc. Class A","Canada","","CT:BBD-A","Toronto Stock Exchange","No","Unknown","$531,024,078","47,261","Analyze"
"BDRBF","Bombardier Inc. Class B","Canada","","CT:BBD-B","Toronto Stock Exchange","No","Industrials","$3,496,416,144","450,659","Analyze"
"BEPC","Brookfield Renewable Corporation Class A","Canada","Canada","CT:BEPC","Toronto Stock Exchange","Yes","Utilities","$6,936,417,601","586,599","Analyze"
"BFFAF","BASF SE","Germany","","GF:BAS","Frankfurt Stock Exchange","No","Materials","$67,825,977,637","111","Analyze"
"BHC","Bausch Health Companies Inc.","Canada","Canada","CT:BHC","Toronto Stock Exchange","No","Health Care","$10,207,107,599","1,197,961","Analyze"
"BHNGF","Bhang Inc.","Canada","","CF:BHNG","Canadian Securities Exchange","No","Unknown","$6,108,696","6,716","Analyze"
"BILZF","Ignite International Brands Ltd","Canada","","CF:BILZ","Canadian Securities Exchange","No","Unknown","$118,842,345","36,657","Analyze"
"BIPC","Brookfield Infrastructure Partners LP Class A Subordinate Voting Shares","Canada","Canada","CT:BIPC","Toronto Stock Exchange","Yes","Utilities","$2,673,926,537","245,677","Analyze"
"BITF","Bitfarms Ltd.","Canada","","CV:BITF","TSX Venture Exchange","Yes","Financials","$1,008,035,837","6,843,693","Analyze"
"BKLLF","Codebase Ventures Inc.","Canada","","CF:CODE","Canadian Securities Exchange","No","Financials","$5,433,291","459,991","Analyze"
"BLDP","Ballard Power Systems","Canada","Canada","CT:BLDP","Toronto Stock Exchange","Yes","Industrials","$4,958,270,298","3,481,502","Analyze"
"BLEVF","Beleave Inc.","Canada","","CF:BE","Canadian Securities Exchange","No","Unknown","$560,846","10,210","Analyze"
"BLU","BELLUS Health Inc.","Canada","","CT:BLU","Toronto Stock Exchange","Yes","Health Care","$477,857,902","1,337,272","Analyze"
"BMO","Bank Of Montreal","Canada","Canada","CT:BMO","Toronto Stock Exchange","Yes","Financials","$69,788,409,432","503,572","Analyze"
"BNIGF","Beroni Group Ltd.","Australia","","AO:BTG","National Stock Exchange of Australia","No","Unknown","$15,174,470","550","Analyze"
"BNOEF","Bionomics Ltd","Australia","","AT:BNO","Asx - All Markets","No","Health Care","$116,002,666","203,220","Analyze"
"BNPQF","BNP Paribas SA Class A","France","","FP:BNP","Euronext Paris","No","Financials","$84,396,272,247","1,024","Analyze"
"BNS","The Bank Of Nova Scotia","Canada","Canada","CT:BNS","Toronto Stock Exchange","Yes","Financials","$79,494,554,509","1,250,224","Analyze"
"BONXF","BonTerra Resources Inc.","Canada","","CV:BTR","TSX Venture Exchange","No","Materials","$84,465,735","39,831","Analyze"
"BPRMF","Blue Prism Group PLC","United Kingdom","United Kingdom","LN:PRSM","London Stock Exchange","Yes","Information Technology","$1,501,860,829","3,624","Analyze"
"BRGGF","Bragg Gaming Group Inc.","Canada","","CV:BRAG","TSX Venture Exchange","No","Unknown","$207,068,689","49,331","Analyze"
"BRPHF","Galaxy Digital Holdings Ltd","Canada","","CT:GLXY","Toronto Stock Exchange","No","Communication Services","$1,708,995,365","580,896","Analyze"
"BTG","B2Gold Corp","Canada","Canada","CT:BTO","Toronto Stock Exchange","Yes","Materials","$4,368,576,633","6,968,086","Analyze"
"BTGOF","BT Group PLC","United Kingdom","United Kingdom","LN:BT-A","London Stock Exchange","Yes","Communication Services","$18,747,009,132","56,201","Analyze"
"BUR","Burford Capital Limited","United Kingdom","Guernsey","LN:BUR","London Stock Exchange","Yes","Financials","$2,361,357,674","109,915","Analyze"
"BYDDF","BYD Company Limited","China","","HK:1211","Hong Kong Exchange","No","Communication Services","$38,252,000,000","57,673","Analyze"
"CAE","CAE Inc.","Canada","Canada","CT:CAE","Toronto Stock Exchange","No","Industrials","$9,598,669,007","183,289","Analyze"
"CANSF","Willow Biosciences Inc.","Canada","","CT:WLLW","Toronto Stock Exchange","No","Materials","$52,037,290","29,690","Analyze"
"CBWTF","Auxly Cannabis Group Inc.","Canada","","CV:XLY","TSX Venture Exchange","No","Health Care","$162,887,409","1,195,834","Analyze"
"CCHWF","Columbia Care Inc.","Canada","","CF:CCHW","Canadian Securities Exchange","No","Consumer Discretionary","$1,284,479,941","367,825","Analyze"
"CCJ","Cameco Corporation","Canada","Canada","CT:CCO","Toronto Stock Exchange","Yes","Energy","$10,588,477,813","8,673,168","Analyze"
"CGAU","Centerra Gold Inc.","Canada","","CT:CG","Toronto Stock Exchange","Yes","Materials","$2,258,461,738","58,841","Analyze"
"CGC","Canopy Growth Corporation","Canada","Australia","CT:WEED","Toronto Stock Exchange","No","Health Care","$5,640,660,295","4,442,096","Analyze"
"CGMLF","Chalice Gold Mines Limited","Australia","","AT:CHN","Asx - All Markets","No","Materials","$1,817,631,627","22,000","Analyze"
"CHPGF","Chesapeake Gold Corp.","Canada","","CV:CKG","TSX Venture Exchange","No","Materials","$205,468,941","11,948","Analyze"
"CHXMF","Troilus Gold Corp.","Canada","","CT:TLG","Toronto Stock Exchange","No","Materials","$134,873,579","146,819","Analyze"
"CIGI","Colliers International Group Inc.","Canada","Canada","CT:CIGI","Toronto Stock Exchange","Yes","Real Estate","$6,017,681,072","71,424","Analyze"
"CIXX","CI Financial Corp.","Canada","","CT:CIX","Toronto Stock Exchange","Yes","Financials","$4,531,144,815","28,457","Analyze"
"CKHUF","CK Hutchison Holdings Limited","China","","HK:0001","Hong Kong Exchange","No","Industrials","$25,934,929,280","900","Analyze"
"CLABF","Core One Labs Inc.","Canada","","CF:COOL","Canadian Securities Exchange","No","Unknown","$17,643,213","281,596","Analyze"
"CLS","Celestica","Canada","Canada","CT:CLS","Toronto Stock Exchange","Yes","Information Technology","$969,630,080","355,926","Analyze"
"CM","Canadian Imperial Bank Of Commerce","Canada","Canada","CT:CM","Toronto Stock Exchange","Yes","Financials","$53,827,220,907","491,423","Analyze"
"CMCL","Caledonia Mining Corporation Plc","Jersey","Jersey","CT:CAL","Toronto Stock Exchange","Yes","Materials","$155,605,687","21,200","Analyze"
"CNHI","CNH Industrial N.V.","The Netherlands","The Netherlands","IM:CNHI","Borsa Italiana S.P.A.","Yes","Industrials","$22,948,782,483","2,948,124","Analyze"
"CNI","Canadian National Railway Company","Canada","Australia","CT:CNR","Toronto Stock Exchange","Yes","Industrials","$88,093,363,482","1,367,354","Analyze"
"CNNEF","Canacol Energy Ltd.","Canada","","CT:CNE","Toronto Stock Exchange","No","Energy","$558,502,894","9,087","Analyze"
"CNQ","Canadian Natural Resources Limited","Canada","Canada","CT:CNQ","Toronto Stock Exchange","Yes","Energy","$50,311,264,970","3,032,003","Analyze"
"CNSNF","Constantine Metal Resources Ltd.","Canada","","CV:CEM","TSX Venture Exchange","No","Unknown","$15,930,216","175,003","Analyze"
"CNSWF","Constellation Software Inc","Canada","","CT:CSU","Toronto Stock Exchange","No","Information Technology","$37,737,876,624","0","Analyze"
"CP","Canadian Pacific Railway Limited","Canada","Canada","CT:CP","Toronto Stock Exchange","No","Industrials","$49,002,772,331","4,747,268","Analyze"
