"Symbol","Name","U.S. Exchange","Cross-list symbol","Cross-list exchange","GICS Sector","Industry","Market cap","Average Volume","Action"
"LEV","The Lion Electric Company","New York Stock Exchange","CT:LEV","Toronto Stock Exchange","Industrials","Farm & Heavy Construction Machinery","$2,158,035,987","952,270","Analyze"
"MAXR","Maxar Technologies Ltd.","New York Stock Exchange","CT:MAXR","Toronto Stock Exchange","Industrials","Communication Equipment","$2,144,434,283","652,607","Analyze"
"PVG","Pretium Resources Inc","New York Stock Exchange","CT:PVG","Toronto Stock Exchange","Materials","Gold","$2,061,241,707","858,099","Analyze"
"OR","Osisko Gold Royalties Ltd","New York Stock Exchange","CT:OR","Toronto Stock Exchange","Consumer Staples","Gold","$2,023,389,959","636,427","Analyze"
"TIXT","TELUS International (Cda) Inc.","New York Stock Exchange","CT:TIXT","Toronto Stock Exchange","Information Technology","Software—Infrastructure","$1,986,714,721","353,469","Analyze"
"HUT","Hut 8 Mining Corp.","NASDAQ Global Select","CT:HUT","Toronto Stock Exchange","Financials","Capital Markets","$1,965,328,105","13,465,743","Analyze"
"HBM","Hudbay Minerals Inc","New York Stock Exchange","CT:HBM","Toronto Stock Exchange","Consumer Discretionary","Copper","$1,937,845,690","1,437,828","Analyze"
"LICY","Li-Cycle Holdings Corp.","New York Stock Exchange","","","Industrials","Waste Management","$1,904,305,407","3,319,792","Analyze"
"TRIL","Trillium Therapeutics Inc.","NASDAQ Capital Market","CT:TRIL","Toronto Stock Exchange","Health Care","Biotechnology","$1,852,075,290","1,244,989","Analyze"
"ERO","Ero Copper Corp.","New York Stock Exchange","CT:ERO","Toronto Stock Exchange","Materials","Copper","$1,788,325,445","24,188","Analyze"
"EGO","Eldorado Gold Corporation","New York Stock Exchange","CT:ELD","Toronto Stock Exchange","Materials","Gold","$1,735,148,866","1,894,986","Analyze"
"VET","Vermilion Energy Inc.","New York Stock Exchange","CT:VET","Toronto Stock Exchange","Energy","Oil & Gas E&P","$1,707,142,319","3,014,667","Analyze"
"MAG","Mag Silver Corporation","NYSE American","CT:MAG","Toronto Stock Exchange","Materials","Silver","$1,682,962,279","398,362","Analyze"
"SLI","Standard Lithium Ltd.","NYSE American","CV:SLI","TSX Venture Exchange","Materials","Other Industrial Metals & Mining","$1,593,775,723","3,321,291","Analyze"
"DNN","Denison Mines Corp","NYSE American","CT:DML","Toronto Stock Exchange","Materials","Uranium","$1,482,567,913","18,069,510","Analyze"
"ACB","Aurora Cannabis Inc.","NASDAQ Global Select","CT:ACB","Toronto Stock Exchange","Health Care","Drug Manufacturers—Specialty & Generic","$1,475,994,410","4,948,165","Analyze"
"HIVE","Hive Blockchain Technologies Ltd.","NASDAQ Capital Market","CV:HIVE","TSX Venture Exchange","Information Technology","Capital Markets","$1,400,686,971","6,253,580","Analyze"
"IAG","Iamgold Corp","New York Stock Exchange","CT:IMG","Toronto Stock Exchange","Financials","Gold","$1,368,088,800","6,930,167","Analyze"
"MMAT","Meta Materials Inc.","NASDAQ Capital Market","","","Information Technology","Electronic Components","$1,362,542,499","11,285,445","Analyze"
"SA","Seabridge Gold","New York Stock Exchange","CT:SEA","Toronto Stock Exchange","Materials","Gold","$1,353,751,846","266,714","Analyze"
"FSM","Fortuna Silver Mines Inc","New York Stock Exchange","CT:FVI","Toronto Stock Exchange","Materials","Silver","$1,340,557,857","3,460,710","Analyze"
"SAND","Sandstorm Gold Ltd","New York Stock Exchange","CT:SSL","Toronto Stock Exchange","Industrials","Gold","$1,272,671,631","1,608,854","Analyze"
"NFGC","New Found Gold Corp","NYSE American","CV:NFG","TSX Venture Exchange","Materials","Gold","$1,206,249,413","166,903","Analyze"
"SNDL","Sundial Growers Inc.","NASDAQ Capital Market","","","Health Care","Drug Manufacturers—Specialty & Generic","$1,144,559,840","89,616,729","Analyze"
"UUUU","Energy Fuels Inc","NYSE American","CT:EFR","Toronto Stock Exchange","Energy","Uranium","$1,110,925,251","5,625,976","Analyze"
"SILV","Silvercrest Metals Inc.","NYSE American","CT:SIL","Toronto Stock Exchange","Materials","Other Precious Metals & Mining","$1,083,687,171","586,999","Analyze"
"ZYME","Zymeworks Inc.","New York Stock Exchange","","","Health Care","Biotechnology","$1,061,430,288","708,488","Analyze"
"RFP","Resolute Forest Products Inc","New York Stock Exchange","CT:RFP","Toronto Stock Exchange","Materials","Paper & Paper Products","$1,051,348,829","462,497","Analyze"
"MNMD","Mind Medicine (MindMed) Inc.","NASDAQ Capital Market","QF:NMED","","Health Care","Biotechnology","$1,047,338,486","2,093,568","Analyze"
"BITF","Bitfarms Ltd.","NASDAQ Global Market","CV:BITF","TSX Venture Exchange","Financials","Capital Markets","$1,008,035,837","6,843,693","Analyze"
"SII","Sprott Inc.","New York Stock Exchange","CT:SII","Toronto Stock Exchange","Financials","Asset Management","$987,567,851","74,743","Analyze"
"CLS","Celestica","New York Stock Exchange","CT:CLS","Toronto Stock Exchange","Information Technology","Electronic Components","$969,630,080","355,926","Analyze"
"NGD","New Gold Inc.","NYSE American","CT:NGD","Toronto Stock Exchange","Materials","Gold","$925,949,275","7,015,504","Analyze"
"STKL","Sunopta Inc","NASDAQ Global Select","CT:SOY","Toronto Stock Exchange","Consumer Staples","Packaged Foods","$850,624,666","708,528","Analyze"
"SGML","Sigma Lithium Corporation","NASDAQ Capital Market","CV:SGML","TSX Venture Exchange","Materials","Other Industrial Metals & Mining","$838,350,835","88,689","Analyze"
"ORLA","Orla Mining Ltd.","NYSE American","CT:OLA","Toronto Stock Exchange","Materials","Gold","$828,231,515","166,263","Analyze"
"EXK","Endeavour Silver Corporation","New York Stock Exchange","CT:EDR","Toronto Stock Exchange","Materials","Silver","$796,054,304","2,478,608","Analyze"
"LGO","Largo Resources Ltd.","NASDAQ Global Select","CT:LGO","Toronto Stock Exchange","Materials","Other Industrial Metals & Mining","$747,589,805","100,501","Analyze"
"SVM","Silvercorp Metals Inc.","NYSE American","CT:SVM","Toronto Stock Exchange","Materials","Silver","$721,523,407","980,019","Analyze"
"OGI","Organigram Holdings Inc.","NASDAQ Global Select","CV:OGI","TSX Venture Exchange","Health Care","Drug Manufacturers—Specialty & Generic","$707,563,199","4,947,589","Analyze"
"MMX","Maverix Metals Inc.","NYSE American","CT:MMX","Toronto Stock Exchange","Materials","Other Precious Metals & Mining","$705,891,518","128,689","Analyze"
"VFF","Village Farms International, Inc.","NASDAQ Capital Market","CT:VFF","Toronto Stock Exchange","Consumer Staples","Farm Products","$677,782,900","575,730","Analyze"
"PYR","PyroGenesis Canada Inc.","NASDAQ Capital Market","CT:PYR","Toronto Stock Exchange","Industrials","Specialty Industrial Machinery","$674,851,142","120,199","Analyze"
"BAMR","Brookfield Asset Management Reinsurance Partners Ltd. Class A","New York Stock Exchange","CT:BAMR","Toronto Stock Exchange","Financials","Insurance—Reinsurance","$654,963,718","23,157","Analyze"
"PDS","Precision Drilling Corp","New York Stock Exchange","CT:PD","Toronto Stock Exchange","Energy","Oil & Gas Drilling","$648,723,763","45,667","Analyze"
"TGB","Taseko Mines Limited","NYSE American","CT:TKO","Toronto Stock Exchange","Materials","Other Industrial Metals & Mining","$647,226,315","1,794,451","Analyze"
"SWIR","Sierra Wireless Inc","NASDAQ Global Select","CT:SW","Toronto Stock Exchange","Information Technology","Communication Equipment","$605,413,077","123,233","Analyze"
"AKU","Akumin Inc.","NASDAQ Capital Market","CT:AKU","Toronto Stock Exchange","Health Care","Diagnostics & Research","$596,480,880","71,845","Analyze"
"HEXO","HEXO Corp.","NASDAQ Capital Market","CT:HEXO","Toronto Stock Exchange","Health Care","Drug Manufacturers—Specialty & Generic","$590,015,067","7,194,655","Analyze"
"ABST","Absolute Software Corporation","NASDAQ Global Select","CT:ABT","Toronto Stock Exchange","Information Technology","Software—Application","$565,632,806","116,344","Analyze"
"NEWP","New Pacific Metals Corp.","NYSE American","CT:NUAG","Toronto Stock Exchange","Materials","Other Precious Metals & Mining","$516,319,537","128,965","Analyze"
"WPRT","Westport Fuel Systems Inc","NASDAQ Global Select","CT:WPRT","Toronto Stock Exchange","Consumer Discretionary","Auto Parts","$514,698,896","1,034,030","Analyze"
