Symbol,Description,Category2,Category3,Index Country,GICS Sector,Industry,Market Cap,Current Yield,PB Ratio,PE Ratio,PS Ratio,NI%,ROE%,Beta,Actions
DOMO,Domo Inc.,Common stocks,Mid cap,USA,Information Technology,Software—Application,"$2,683,515,519 ",0.00%,-522.19,-32.68,11.5,-35.21,80.94,1.9,Analyze
DOOO,BRP Inc.,Common stocks,Mid cap,Canada,Consumer Discretionary,Recreational Vehicles,"$3,545,595,370 ",0.48%,-31.14,3.85,0.49,12.77,-220.07,1.33,Analyze
DOOR,Masonite International Corp,Common stocks,Mid cap,USA,Industrials,Building Products & Equipment,"$2,702,328,300 ",0.00%,3.7,31.22,1.07,3.47,11.62,1.44,Analyze
DORM,Dorman Products Inc,Common stocks,Mid cap,USA,Consumer Discretionary,Auto Parts,"$3,260,588,882 ",0.00%,3.72,24.64,2.72,11.21,15.07,0.71,Analyze
DOV,Dover Corp,Common stocks,Large cap,USA,Industrials,Specialty Industrial Machinery,"$24,311,808,659 ",1.17%,6.27,25.89,3.16,12.25,24.23,0.95,Analyze
DOW,Dow Inc.,Common stocks,Large cap,USA,Materials,Chemicals,"$44,664,272,383 ",4.60%,2.84,10.82,0.97,8.89,25.43,1.2,Analyze
DOX,Amdocs Ltd,Common stocks,Large cap,Guernsey,Information Technology,Software—Infrastructure,"$10,570,102,873 ",1.73%,2.83,15.21,2.48,16.44,19.04,0.78,Analyze
DOYU,DouYu International Holdings Limited ADRs,ADRs,Small cap,China,Communication Services,Internet Content & Information,"$1,213,292,615 ",0.00%,0.18,0,0.83,-3.44,-4.78,0.7,Analyze
DPRO,Draganfly Inc.,Common stocks,Micro cap,Canada,Industrials,Aerospace & Defense,"$95,742,440 ",0.00%,251.43,-1.61,14.82,-911.38,915.39,0,Analyze
DPW,Digital Power Corporation,Common stocks,Micro cap,USA,Industrials,Electrical Equipment & Parts,"$142,943,962 ",0.00%,0.6,7.38,1.74,30.99,11.01,2.55,Analyze
DPZ,Dominos Pizza Inc,Common stocks,Large cap,USA,Consumer Discretionary,Restaurants,"$16,686,248,197 ",0.78%,-6.52,33.61,3.82,11.59,-12.28,0.39,Analyze
DQ,Daqo New Energy ADRs,ADRs,Mid cap,China,Information Technology,Semiconductor Equipment & Materials,"$5,348,848,081 ",0.00%,4.87,13.02,5,38.19,35.76,2.03,Analyze
DRAY,Macondray Capital Acquisition Corp. I Class A,Common stocks,Micro cap,USA,Financials,Shell Companies,"$282,325,000 ",0.00%,"3,276.67",0,0,0,0,0,Analyze
DRAYU,Macondray Capital Acquisition Corp I - Units (1 Ord Share Class A & 1/3 War),Units,Micro cap,USA,Financials,Shell Companies,"$282,325,000 ",0.00%,"3,313.33",0,0,0,0,0,Analyze
DRAYW,Macondray Capital Acquisition Corp. I Warrant,Warrants,Shell Companies,USA,Financials,Shell Companies,"$282,325,000 ",0.00%,189.8,0,0,0,0,0,Analyze
DRD,DRDGold Ltd ADRs,ADRs,Small cap,South Africa,Materials,Gold,"$804,067,500 ",2.85%,0.16,8.18,0.7,18.2,62.74,1.07,Analyze
