Symbol,Description,Category2,Category3,Index Country,GICS Sector,Industry,Market Cap,Current Yield,PB Ratio,PE Ratio,PS Ratio,NI%,ROE%,Beta,Actions
A,Agilent Technologies Inc,Common stocks,Large cap,USA,Health Care,Diagnostics & Research,"$47,706,065,250 ",0.49%,9.61,47.99,7.77,16.12,20.02,0.96,Analyze
AA,Alcoa Corp,Common stocks,Mid cap,USA,Materials,Aluminum,"$9,812,341,852 ",0.69%,2.41,11.43,0.88,7.29,14.96,1.81,Analyze
AAC,Ares Acquisition Corporation Class A,Common stocks,Small cap,USA,Financials,Shell Companies,"$976,000,000 ",0.00%,245.75,0,0,0,0.7,0,Analyze
AAC+,"Ares Acquisition Corporation Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",Warrants,Shell Companies,USA,Financials,Shell Companies,"$976,000,000 ",0.00%,0,0,0,0,0,0,Analyze
AAC=,Ares Acquisition Corporation - Units (1 Ord Share Class A & 1/5 War),Units,Small cap,USA,Financials,Shell Companies,"$872,175,000 ",0.00%,0,0,0,0,0,0,Analyze
AACG,ATA Creativity Global ADRs,ADRs,Micro cap,China,Consumer Discretionary,Education & Training Services,"$77,350,899 ",0.00%,0.35,0,2.79,-5.88,-4.73,6.5,Analyze
AACIU,Armada Acquisition Corp I - Units (1 Ord & 1/2 War),Units,Micro cap,usa,Financials,Shell Companies,"$149,250,000 ",0.00%,"1,980.00",0,0,0,0,0,Analyze
AADI,"Aadi Biosciences, Inc.",Common stocks,Small cap,USA,Health Care,Biotechnology,"$579,541,600 ",0.00%,15.91,-118.78,0,0,-52.6,4.4,Analyze
AAIC,Arlington Asset Investment Corp Class A,Mortgage REITs,Micro cap,China,Financials,REIT—Mortgage,"$127,061,097 ",9.15%,0.66,583.83,8.3,20.38,1.36,0.9,Analyze
AAL,American Airlines Group Inc,Common stocks,Large cap,USA,Industrials,Airlines,"$12,638,376,861 ",0.00%,54.49,-3.78,0,-13.23,43.57,1.16,Analyze
AAMC,Altisource Asset Management Corp,Common stocks,Micro cap,USA,Real Estate,Asset Management,"$54,081,810 ",0.00%,-0.2,1.03,0,0,-75.7,0,Analyze
AAME,Atlantic American Corp,Common stocks,Micro cap,China,Financials,Insurance—Life,"$86,745,743 ",0.47%,0.6,5.38,0.42,7.86,11.42,0,Analyze
AAN,Aarons Inc,Common stocks,Small cap,USA,Consumer Discretionary,Rental & Leasing Services,"$954,365,624 ",1.02%,1.33,5.31,0.39,7.47,24.75,0,Analyze
AAOI,Applied Optoelectronics Inc,Common stocks,Micro cap,USA,Information Technology,Semiconductors,"$201,117,537 ",0.00%,0.73,-4.35,0.86,-20.14,-16.91,1.22,Analyze
AAON,"AAON, Inc.",Common stocks,Mid cap,USA,Industrials,Building Products & Equipment,"$3,696,559,326 ",0.54%,9.6,48.22,7.23,14.94,19.9,0.87,Analyze
AAP,Advance Auto Parts Inc,Common stocks,Large cap,USA,Consumer Discretionary,Specialty Retail,"$14,279,747,955 ",1.10%,4.46,23.59,1.31,5.73,18.9,0.74,Analyze
AAPL,Apple Inc,Common stocks,Large cap,USA,Information Technology,Consumer Electronics,"$2,467,292,577,160 ",0.57%,38.51,28.47,7.11,25,135.04,1.35,Analyze
AAQC,Accelerate Acquisition Corp. Class A,Common stocks,Small cap,USA,Financials,Shell Companies,"$390,800,000 ",0.00%,97.4,0,0,0,-1.44,0,Analyze
AAQC+,"Accelerate Acquisition Corp. Warrants, each whole warrant exercisable for one share of Class A common stock at an exercise price of $11.50",Warrants,Shell Companies,USA,Financials,Shell Companies,"$390,800,000 ",0.00%,0,0,0,0,0,0,Analyze
AAQC=,Accelerate Acquisition Corp - Units (1 Ord Share Class A & 1/3 War),Units,Small cap,USA,Financials,Shell Companies,"$390,800,000 ",0.00%,0,0,0,0,0,0,Analyze
AAT,"American Assets Trust, Inc",REITs,Mid cap,USA,Real Estate,REIT—Diversified,"$2,383,808,802 ",2.79%,1.89,130.46,6.98,6.19,1.72,1.21,Analyze
AATC,Autoscope Technologies Corporation,Common stocks,Micro cap,USA,Information Technology,Scientific & Technical Instruments,"$37,570,302 ",1.71%,1.82,12.92,2.81,21.7,14.07,0,Analyze
AAU,Almaden Minerals Ltd.,Common stocks,Micro cap,Canada,Materials,Gold,"$51,869,692 ",0.00%,0.64,0,0,0,-3.86,1.37,Analyze
AAWW,Atlas Air Worldwide Holdings Inc,Common stocks,Mid cap,USA,Industrials,Airports & Air Services,"$2,272,068,076 ",0.00%,0.93,5.12,0.63,12.66,18.22,0.85,Analyze
AB,AllianceBernstein Holding LP,MLPs,Mid cap,USA,Financials,Asset Management,"$5,311,824,655 ",6.18%,3.34,16.14,14.69,91.87,20.71,1.09,Analyze
ABB,ABB Ltd ADRs,ADRs,Large cap,Switzerland,Industrials,Electrical Equipment & Parts,"$71,942,315,171 ",2.43%,4.73,11.83,2.56,20.29,39.99,0.95,Analyze
ABBV,Abbvie Inc,Common stocks,Large cap,USA,Health Care,Drug Manufacturers—General,"$191,579,499,424 ",4.71%,15.29,28.85,3.57,12.4,52.91,0.66,Analyze
ABC,AmerisourceBergen Corp,Common stocks,Large cap,USA,Health Care,Medical Distribution,"$25,401,974,931 ",1.43%,670.55,-6.81,0.12,-1.83,-916.62,0.69,Analyze
ABCB,Ameris Bancorp,Common stocks,Mid cap,USA,Financials,Banks-Regional,"$3,719,944,181 ",1.12%,1.31,8.83,3.3,37.56,14.94,1.24,Analyze
ABCL,AbCellera Biologics Inc.,Common stocks,Mid cap,Canada,Health Care,Biotechnology,"$4,470,410,299 ",0.00%,4.67,19.72,9.99,51.2,23.69,0,Analyze
ABCM,Abcam plc ADRs,ADRs,Mid cap,United Kingdom,Health Care,Biotechnology,"$5,093,510,581 ",0.00%,8.16,229.7,14.17,4.81,1.97,0,Analyze
ABEO,Abeona Therapeutics Inc,Common stocks,Micro cap,USA,Health Care,Biotechnology,"$91,084,067 ",0.00%,1.09,-2.34,7.01,-417.49,-64.55,0.63,Analyze
ABEV,Ambev SA ADRs,ADRs,Large cap,Brazil,Consumer Staples,Beverages—Brewers,"$42,974,172,682 ",0.52%,0.52,16.35,3.62,21.91,18.19,1.06,Analyze
ABG,Asbury Automotive Group Inc.,Common stocks,Mid cap,USA,Consumer Discretionary,Auto & Truck Dealerships,"$4,163,617,581 ",0.00%,3.87,10.32,0.47,4.86,37.46,1.24,Analyze
ABGI,ABG Acquisition Corp. I - Class A,Common stocks,Micro cap,USA,Financials,Shell Companies,"$150,993,110 ",0.00%,37.45,0,0,0,-0.26,0,Analyze
ABIO,Arca Biopharma Inc,Common stocks,Micro cap,USA,Health Care,Biotechnology,"$39,771,995 ",0.00%,0.5,0,0,0,-26.22,0.73,Analyze
ABM,ABM Industries Inc,Common stocks,Mid cap,USA,Industrials,Specialty Business Services,"$3,026,523,531 ",1.68%,1.92,20.9,0.5,2.41,9.18,1.11,Analyze
ABMD,Abiomed Inc,Common stocks,Large cap,USA,Health Care,Medical Devices,"$15,720,620,316 ",0.00%,12.14,65.2,16.81,16.51,11.81,0.86,Analyze
ABNB,"Airbnb, Inc.",Common stocks,Large cap,USA,Consumer Discretionary,Internet Content & Information,"$102,271,572,480 ",0.00%,31.1,-11.69,23.12,-110.97,-144.67,0,Analyze
ABOS,"Acumen Pharmaceuticals, Inc.",Common stocks,Small cap,USA,Health Care,Biotechnology,"$573,028,112 ",0.00%,-5.55,-144.42,0,"-24,518.57",87.14,0,Analyze
ABR,Arbor Realty Trust Inc,Mortgage REITs,Mid cap,USA,Financials,REIT—Mortgage,"$2,791,952,501 ",6.64%,1.74,8.85,5.04,59.47,16.83,1.02,Analyze
ABSI,AbSci Corp,Common stocks,Small cap,USA,Health Care,Biotechnology,"$1,035,715,437 ",0.00%,29.58,-12.92,353.85,"-1,975.61",-155.8,0,Analyze
ABST,Absolute Software Corporation,Common stocks,Small cap,Canada,Information Technology,Software—Application,"$566,626,888 ",2.10%,21.37,151.96,4.69,3.09,14.11,0,Analyze
ABT,Abbott Laboratories,Common stocks,Large cap,USA,Health Care,Medical Devices,"$218,606,107,305 ",1.45%,6.56,30.6,5.17,17.12,21.29,0.51,Analyze
ABTX,Allegiance Bancshares Inc,Common stocks,Small cap,USA,Financials,Banks-Regional,"$786,960,256 ",1.18%,1.01,10.88,3.47,32.18,9.26,0.95,Analyze
ABUS,Arbutus Biopharma Corporation,Common stocks,Small cap,Canada,Health Care,Biotechnology,"$405,569,447 ",0.00%,3.98,-4.84,48.57,-856.96,-70.98,1.11,Analyze
ABVC,American BriVision (Holding) Corporation,Common stocks,Micro cap,USA,Health Care,Biotechnology,"$61,910,431 ",0.00%,44,-6.6,131.07,"-2,073.60","-1,898.18",0,Analyze
AC,"Associated Capital Group, Inc.",Common stocks,Micro cap,USA,Financials,Capital Markets,"$115,646,165 ",0.54%,0.87,1.1,6.16,560.56,11.28,0.98,Analyze
ACA,"Arcosa, Inc.",Common stocks,Mid cap,USA,Industrials,Infrastructure Operations,"$2,562,339,570 ",0.47%,1.33,32.53,1.35,4.12,4.08,1.55,Analyze
ACAD,Acadia Pharmaceuticals Inc,Common stocks,Mid cap,USA,Health Care,Biotechnology,"$2,888,366,246 ",0.00%,5.13,-11.08,6.23,-56.49,-46.34,0.25,Analyze
ACAH,Atlantic Coastal Acquisition Corp. - Class A,Common stocks,Small cap,USA,Financials,Shell Companies,"$336,030,000 ",0.00%,83.88,0,0,0,-1.4,0,Analyze
ACAHU,Atlantic Coastal Acquisition Corp - Units (1 Ord Share Class A & 1/3 War),Units,Small cap,USA,Financials,Shell Companies,"$336,030,000 ",0.00%,85.34,0,0,0,-1.4,0,Analyze
ACAHW,Atlantic Coastal Acquisition Corp. - Warrant,Warrants,Shell Companies,USA,Financials,Shell Companies,"$336,030,000 ",0.00%,0,0,0,0,-89.06,0,Analyze
ACAQ=,Athena Consumer Acquisition Corp - Units (1 Ord Share Class A & 1/2 War),Units,Unknown,usa,Financials,Shell Companies,$0 ,0.00%,0,0,0,0,0,0,Analyze
ACAQU,Athena Consumer Acquisition Corp.,Units,Unknown,usa,Financials,Shell Companies,$0 ,0.00%,0,0,0,0,0,0,Analyze
ACB,Aurora Cannabis Inc.,Common stocks,Small cap,Canada,Health Care,Drug Manufacturers—Specialty & Generic,"$1,517,599,621 ",0.00%,0.72,-2.11,7.62,-282.82,-34.04,1.71,Analyze
ACBA,Ace Global Business Acquisition Limited,Common stocks,Micro cap,USA,Financials,Shell Companies,"$61,569,180 ",0.00%,0,0,0,0,0,0,Analyze
ACBAU,Ace Global Business Acquisition Ltd - Units (1 Ord & 1 War),Units,Micro cap,USA,Financials,Shell Companies,"$61,569,180 ",0.00%,12.71,0,0,0,-0.76,0,Analyze
ACBAW,Ace Global Business Acquisition Limited - Warrant,Warrants,Shell Companies,USA,Financials,Shell Companies,"$61,569,180 ",0.00%,0,0,0,0,-0.76,0,Analyze
ACBI,Atlantic Capital Bancshares Inc,Common stocks,Small cap,USA,Financials,Banks-Regional,"$570,366,270 ",0.00%,1.61,13,5.46,41.9,12.39,1.02,Analyze
ACC,"American Campus Communities, Inc",REITs,Mid cap,USA,Real Estate,REIT—Residential,"$7,179,304,632 ",3.59%,2.35,621.2,8.19,1.31,0.37,0.71,Analyze
ACCD,"Accolade, Inc.",Common stocks,Mid cap,USA,Health Care,Health Information Services,"$2,651,234,677 ",0.00%,3.64,-20.26,11.5,-50.25,-15.79,1.94,Analyze
ACCO,Acco Brands Corp,Common stocks,Small cap,USA,Industrials,Business Equipment & Supplies,"$873,719,773 ",2.81%,1.11,11.26,0.48,4.19,9.84,1.45,Analyze
ACEL,"Accel Entertainment, Inc.",Common stocks,Small cap,USA,Consumer Discretionary,Gambling,"$1,171,160,166 ",0.00%,7.61,47.85,2.4,4.27,13.7,1.24,Analyze
ACER,Acer Therapeutics Inc.,Common stocks,Micro cap,USA,Health Care,Biotechnology,"$34,630,790 ",0.00%,4.46,-22.89,8.66,-422.86,-217.39,1.28,Analyze
ACET,"Adicet Bio, Inc.",Common stocks,Micro cap,USA,Health Care,Biotechnology,"$268,430,277 ",7.43%,1.19,-4.87,28.95,-603.06,-24.49,1.21,Analyze
ACEV,ACE Convergence Acquisition Corp. - Class A,Common stocks,Micro cap,USA,Financials,Shell Companies,"$228,390,000 ",0.00%,57.07,0,0,0,-6.07,0,Analyze
ACEVU,ACE Convergence Acquisition Corp - Units (1 Ord Class A & 1/2 War),Units,Micro cap,USA,Financials,Shell Companies,"$228,390,000 ",0.00%,59.66,0,0,0,-6.11,0,Analyze
ACEVW,ACE Convergence Acquisition Corp. - Warrant,Warrants,Shell Companies,USA,Financials,Shell Companies,"$228,390,000 ",0.00%,0,0,0,0,-7.38,0,Analyze
ACGL,Arch Capital Group Ltd,Common stocks,Large cap,USA,Financials,Insurance—Diversified,"$16,887,104,324 ",0.00%,1.33,8.36,1.83,23.17,14.33,0.98,Analyze
ACH,Aluminum Corporation of China ADRs,ADRs,Mid cap,China,Materials,Aluminum,"$2,839,655,502 ",0.00%,0.21,22.5,0.05,1.19,7.36,1.04,Analyze
ACHC,Acadia Healthcare Company Inc,Common stocks,Mid cap,USA,Health Care,Medical Care Facilities,"$5,139,286,645 ",0.00%,2.19,-7.52,3.04,-40.97,-29.38,0.91,Analyze
ACHL,Achilles Therapeutics plc,Common stocks,Micro cap,United Kingdom,Health Care,Biotechnology,"$293,969,260 ",0.00%,0.92,0,0,0,-14.36,0,Analyze
ACHR,Archer Aviation Inc. Class A,Common stocks,Small cap,USA,Industrials,Aerospace & Defense,"$334,000,000 ",0.00%,-4.64,0,0,0,45.02,0,Analyze
ACHR+,"Archer Aviation Inc. Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50",Warrants,Operating Companies,USA,Industrials,Aerospace & Defense,"$334,000,000 ",0.00%,0,0,0,0,0,0,Analyze
ACHV,Achieve Life Sciences,Common stocks,Micro cap,USA,Health Care,Biotechnology,"$77,413,706 ",0.00%,1.88,0,0,0,-68.04,1.01,Analyze
ACI,"Albertsons Companies, Inc. Class A",Common stocks,Large cap,USA,Consumer Staples,Grocery Stores,"$13,486,831,883 ",1.37%,7.01,22.31,0.2,1.04,36.72,0.24,Analyze
ACII,Atlas Crest Investment Corp. II Class A,Common stocks,Small cap,USA,Financials,Shell Companies,"$336,375,000 ",0.00%,83.88,0,0,0,1.3,0,Analyze
ACII+,"Atlas Crest Investment Corp. II Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50",Warrants,Shell Companies,USA,Financials,Shell Companies,"$336,375,000 ",0.00%,0,0,0,0,0,0,Analyze
ACII=,Atlas Crest Investment Corp II - Units (1 Ord Share Class A & 1/4 War),Units,Micro cap,USA,Financials,Shell Companies,"$297,600,000 ",0.00%,0,0,0,0,85.77,0,Analyze
ACIU,AC Immune SA,Common stocks,Small cap,Switzerland,Health Care,Biotechnology,"$439,548,557 ",0.00%,2.32,-11.4,195.36,"-3,594.44",-39.25,1.09,Analyze
ACIW,ACI Worldwide Inc,Common stocks,Mid cap,USA,Information Technology,Software—Infrastructure,"$3,671,388,250 ",0.00%,3.09,41.64,2.85,6.79,7.43,1.31,Analyze
ACKIT,Ackrell SPAC Partners I Co - Subunits (1 Ord & 0.5 War),Units,Micro cap,USA,Financials,Shell Companies,"$143,820,170 ",0.00%,0,0,0,0,-0.25,0,Analyze
ACKIU,Ackrell SPAC Partners I Co - Units ( 1Subunit & 0.5 War),Units,Micro cap,USA,Financials,Shell Companies,"$124,560,000 ",0.00%,0,0,0,0,-0.25,0,Analyze
ACKIW,Ackrell SPAC Partners I Co.  - Warrants,Warrants,,usa,Unknown,,"$3,329,516 ",0.00%,0,0,0,0,-0.25,0,Analyze
ACLS,Axcelis Technologies Inc,Common stocks,Small cap,USA,Information Technology,Semiconductor Equipment & Materials,"$1,677,729,908 ",0.00%,3.37,27.29,3.27,11.87,12.31,2.4,Analyze
ACM,AECOM,Common stocks,Mid cap,USA,Industrials,Engineering & Construction,"$9,397,152,323 ",0.00%,3.62,-63.57,0.69,-1.13,-5.44,1.19,Analyze
ACMR,ACM Research Inc.,Common stocks,Small cap,USA,Information Technology,Semiconductor Equipment & Materials,"$1,883,317,167 ",0.00%,12.74,64.03,8.03,12.45,18.15,2.16,Analyze
ACN,Accenture Plc Class A,Common stocks,Large cap,USA,Information Technology,Information Technology Services,"$227,100,514,259 ",1.04%,11.23,38.59,4.49,11.73,29.49,1.11,Analyze
ACNB,ACNB Corporation,Common stocks,Micro cap,USA,Financials,Banks-Regional,"$242,279,047 ",2.68%,0.9,8.07,2.53,31.07,11.19,0.85,Analyze
ACOR,Acorda Therapeutics Inc,Common stocks,Micro cap,USA,Health Care,Biotechnology,"$42,579,572 ",0.00%,0.25,-0.37,0.28,-86.91,-69.31,0.68,Analyze
ACQR,Independence Holdings Corp. Class A Ordinary Share,Common stocks,Micro cap,USA,Financials,Shell Companies,"$261,264,442 ",0.00%,120.25,0,0,0,-0.22,0,Analyze
ACQRU,Independence Holdings Corp - Units (1 Ord Share Class A & 1/5 War),Units,Micro cap,USA,Financials,Shell Companies,"$261,264,442 ",0.00%,121.85,0,0,0,-0.22,0,Analyze
ACQRW,Independence Holdings Corp. Warrant,Warrants,Shell Companies,USA,Financials,Shell Companies,"$261,264,442 ",0.00%,0,0,0,0,-20.58,0,Analyze
ACR,ACRES Commercial Realty Corp.,Mortgage REITs,Micro cap,USA,Financials,REIT—Mortgage,"$149,929,603 ",50.46%,0.32,3.17,3.08,121.15,13,1.3,Analyze
ACRE,Ares Commercial Real Estate Corp,Mortgage REITs,Small cap,USA,Financials,REIT—Mortgage,"$741,688,735 ",8.43%,1.09,11.86,8.8,74.34,9.23,1.19,Analyze
ACRO,Acropolis Infrastructure Acquisition Corp. Class A,Common stocks,Unknown,USA,Financials,Shell Companies,$0 ,0.00%,0,0,0,0,0,0,Analyze
ACRO+,Acropolis Infrastructure Acquisition Corp. Warrants,Warrants,Shell Companies,USA,Financials,Shell Companies,$0 ,0.00%,0,0,0,0,0,0,Analyze
ACRO=,Acropolis Infrastructure Acquisition Corp - Units (1 Ord Share Class A & 1/3 War),Units,Unknown,USA,Financials,Shell Companies,$0 ,0.00%,0,0,0,0,0,0,Analyze
ACRS,Aclaris Therapeutics Inc,Common stocks,Small cap,USA,Health Care,Biotechnology,"$986,185,040 ",0.00%,4.21,-13.92,148.75,"-1,067.07",-30.26,1.54,Analyze
ACRX,Acelrx Pharmaceuticals Inc,Common stocks,Micro cap,USA,Health Care,Drug Manufacturers—Specialty & Generic,"$117,058,405 ",0.00%,-4.13,-3.13,38.25,"-1,197.88",101.85,0.96,Analyze
ACST,Acasti Pharma Inc.,Common stocks,Micro cap,Canada,Health Care,Biotechnology,"$46,884,499 ",0.00%,-5.72,-3.78,150.75,"-5,829.58",-33.92,1.78,Analyze
ACT,"Enact Holdings, Inc.",Common stocks,Mid cap,USA,Financials,Insurance—Specialty,"$3,769,746,000 ",0.00%,0.92,0,0,0,0,0,Analyze
ACTD,ArcLight Clean Transition Corp. II - Class A,Common stocks,Small cap,USA,Financials,Shell Companies,"$303,315,518 ",0.00%,75.74,0,0,0,-477.42,0,Analyze
ACTDU,ArcLight Clean Transition Corp II - Units (1 Ord Share Class A & 1/5 War),Units,Small cap,USA,Financials,Shell Companies,"$303,315,518 ",0.00%,78.84,0,0,0,-471.02,0,Analyze
ACTDW,ArcLight Clean Transition Corp. II - Warrant,Warrants,Shell Companies,USA,Financials,Shell Companies,"$303,315,518 ",0.00%,0,0,0,0,-477.42,0,Analyze
ACTG,Acacia Research Corp,Common stocks,Micro cap,USA,Industrials,Specialty Business Services,"$288,219,197 ",2.15%,2.09,-7.27,6.13,-56.37,-16.6,1.29,Analyze
ACU,Acme United Corp,Common stocks,Micro cap,USA,Industrials,Household & Personal Products,"$133,657,001 ",1.37%,1.76,10.17,0.77,7.48,17.33,0.51,Analyze
ACVA,ACV Auctions Inc.,Common stocks,Small cap,USA,Industrials,Software—Application,"$899,507,276 ",0.00%,5.39,-15.86,3.55,-23.26,-9.96,0,Analyze
ACXP,"Acurx Pharmaceuticals, LLC",Common stocks,Micro cap,USA,Health Care,Biotechnology,"$51,506,769 ",0.00%,3.19,0,0,0,-49.42,0,Analyze
ACY,Aerocentury Corp,Common stocks,Micro cap,USA,Industrials,Rental & Leasing Services,"$61,448,889 ",0.00%,197.22,-2.43,11.41,"-1,704.55",349.95,0,Analyze
ADAG,Adagene Inc. ADRs,ADRs,Small cap,China,Health Care,Biotechnology,"$526,842,376 ",0.00%,2.82,-29.94,34.55,"-3,307.95",-15.48,0,Analyze
ADALU,Anthemis Digital Acquisitions I Corp,Units,Unknown,usa,Financials,Shell Companies,$0 ,0.00%,0,0,0,0,0,0,Analyze
ADAP,Adaptimmune Therapeutics ADRs,ADRs,Small cap,United Kingdom,Health Care,Biotechnology,"$811,659,935 ",0.00%,2.96,-5.53,130.41,"-2,390.50",-53.53,1.28,Analyze
ADBE,Adobe Inc,Common stocks,Large cap,USA,Information Technology,Software—Infrastructure,"$301,261,068,000 ",0.00%,21.09,52.11,19.95,38.67,40.51,1.19,Analyze
ADC,Agree Realty Corporation,REITs,Mid cap,USA,Real Estate,REIT—Retail,"$4,862,469,112 ",3.55%,1.55,49.86,16.45,32.93,3.12,0.6,Analyze
ADCT,ADC Therapeutics SA,Common stocks,Small cap,Switzerland,Health Care,Biotechnology,"$1,953,330,485 ",0.00%,8.31,-27.93,519.5,"-5,328.54",-82.14,0.61,Analyze
ADER,26 Capital Acquisition Corp. - Class A,Common stocks,Micro cap,USA,Financials,Shell Companies,"$271,287,500 ",0.00%,68,0,0,0,-1.65,0,Analyze
ADERU,26 Capital Acquisition Corp - Units (1 Ord Class A & 1/2 War),Units,Micro cap,USA,Financials,Shell Companies,"$271,287,500 ",0.00%,70.69,0,0,0,-1.65,0,Analyze
ADERW,26 Capital Acquisition Corp. - Warrant,Warrants,Shell Companies,USA,Financials,Shell Companies,"$271,287,500 ",0.00%,0,0,0,0,-1.65,0,Analyze
ADES,Advanced Emissions Solutions,Common stocks,Micro cap,USA,Materials,Pollution & Treatment Controls,"$126,694,095 ",0.00%,1.04,3.49,1.61,45.48,30.73,0.83,Analyze
ADEX,Adit EdTech Acquisition Corp.,Common stocks,Micro cap,USA,Financials,Shell Companies,"$233,520,000 ",0.00%,0,0,0,0,0,0,Analyze
ADEX+,"Adit EdTech Acquisition Corp. Redeemable Warrants, each whole warrant exercisable for shares of common stock at an exercise price of $11.50 per share",Warrants,Shell Companies,USA,Financials,Shell Companies,"$336,030,000 ",0.00%,0,0,0,0,0,0,Analyze
ADEX=,Adit Edtech Acquisition Corp - Units (1 Ord Share & 1/2 War),Units,Micro cap,USA,Financials,Shell Companies,"$240,000,000 ",0.00%,0,0,0,0,0,0,Analyze
ADF,Aldel Financial Inc. Class A,Common stocks,Micro cap,USA,Financials,Shell Companies,"$121,328,625 ",0.00%,1.09,0,0,0,-1.44,0,Analyze
ADF+,"Aldel Financial Inc. Warrants, each whole warrant entitles the holder thereof to purchase one share of Class A common stock at a price of $11.50 per share",Warrants,Shell Companies,USA,Financials,Shell Companies,"$121,328,625 ",0.00%,0,0,0,0,0,0,Analyze
ADF=,Aldel Financial Inc - Units (1 Ord Class A & 1/2 War),Units,Micro cap,USA,Financials,Shell Companies,"$121,328,625 ",0.00%,0,0,0,0,0,0,Analyze
ADGI,"Adagio Therapeutics, Inc.",Common stocks,Mid cap,USA,Health Care,Biotechnology,"$3,976,134,328 ",0.00%,-25.89,0,0,0,57.65,0,Analyze
ADI,Analog Devices Inc,Common stocks,Large cap,USA,Information Technology,Semiconductors,"$65,144,481,210 ",1.51%,5.37,38.7,10.01,26.15,13.87,1.35,Analyze
ADIL,Adial Pharmaceuticals Inc,Common stocks,Micro cap,USA,Health Care,Biotechnology,"$84,846,292 ",0.00%,4.54,0,0,0,-332.98,1.19,Analyze
ADILW,Adial Pharmaceuticals Inc Warrant Expiring 2/2024,Warrants,Operating Companies,USA,Health Care,Biotechnology,"$1,642,988 ",0.00%,0,0,0,0,-261.37,0,Analyze
ADM,Archer-Daniels-Midland Company,Common stocks,Large cap,USA,Consumer Staples,Farm Products,"$36,226,244,812 ",2.25%,1.68,15.67,0.48,3.09,10.71,0.86,Analyze
ADMA,Adma Biologics Inc,Common stocks,Micro cap,USA,Health Care,Biotechnology,"$147,374,113 ",0.00%,1.43,-2.18,2.54,-126.67,-65.96,0.75,Analyze
ADMP,Adamis Pharmaceuticals Corp,Common stocks,Micro cap,USA,Health Care,Drug Manufacturers—Specialty & Generic,"$160,797,032 ",0.00%,31.08,-2.88,10.37,-383.75,"-1,700.84",1.15,Analyze
ADMS,Adamas Pharmaceuticals Inc,Common stocks,Small cap,USA,Health Care,Drug Manufacturers—Specialty & Generic,"$363,398,717 ",0.00%,61.07,-6.62,4.41,-66.82,"1,366.38",0.26,Analyze
ADN,"Advent Technologies Holdings, Inc. - Class A",Common stocks,Small cap,USA,Industrials,Utilities—Renewable,"$413,313,555 ",0.00%,3.97,-740.02,153.47,-132.32,-3.34,0.99,Analyze
ADNT,Adient PLC,Common stocks,Mid cap,USA,Consumer Discretionary,Auto Parts,"$4,176,672,769 ",0.62%,2.84,37.15,0.29,0.77,6.2,2.06,Analyze
ADNWW,"Advent Technologies Holdings, Inc. - Warrant",Warrants,Operating Companies,USA,Industrials,Utilities—Renewable,"$413,313,555 ",0.00%,0,-154.05,165.81,-33.46,-0.78,2.31,Analyze
ADOC,Edoc Acquisition Corp. - Class A,Common stocks,Micro cap,USA,Financials,Shell Companies,"$96,973,100 ",0.00%,23.96,"-5,170.48",0,-294.49,368.55,0,Analyze
ADOCR,Edoc Acquisition Corp. - Right,Rights,Micro cap,usa,Unknown,,"$96,973,100 ",0.00%,0.85,"-5,218.84",0,-291.91,365.33,0,Analyze
ADOCW,Edoc Acquisition Corp. - Warrant,Warrants,Shell Companies,USA,Financials,Shell Companies,"$96,973,100 ",0.00%,0,-50.92,0,-291.91,365.33,0,Analyze
ADP,Automatic Data Processing Inc,Common stocks,Large cap,USA,Information Technology,Staffing & Employment Services,"$90,061,206,522 ",1.73%,16.04,34.93,6,17.32,45.83,0.67,Analyze
ADPT,Adaptive Biotechnologies Corporation,Common stocks,Mid cap,USA,Health Care,Biotechnology,"$4,776,185,257 ",0.00%,6.88,-27.88,35.8,-128.33,-24.7,1.38,Analyze
ADRA,Adara Acquisition Corp. Class A,Common stocks,Micro cap,USA,Financials,Shell Companies,"$112,815,000 ",0.00%,0,0,0,0,0,0,Analyze
ADRA+,"Adara Acquisition Corp. Redeemable Warrants, each whole warrant exercisable for one share of Class A Common Stock at an exercise price of $11.50",Warrants,Shell Companies,USA,Financials,Shell Companies,"$112,815,000 ",0.00%,0,0,0,0,0,0,Analyze
ADRA=,Adara Acquisition Corp - Units (1Ord Class A & 0.5 Warr),Units,Micro cap,USA,Financials,Shell Companies,"$101,000,000 ",0.00%,0,0,0,0,0,0,Analyze
ADS,Alliance Data Systems Corp,Common stocks,Mid cap,USA,Information Technology,Credit Services,"$5,073,121,352 ",0.82%,2.34,6.8,1.19,16.56,34.43,1.91,Analyze
ADSK,Autodesk Inc,Common stocks,Large cap,USA,Information Technology,Software—Application,"$65,656,135,700 ",0.00%,50.63,51.12,16.25,32.54,99.01,1.45,Analyze
ADT,ADT Inc.,Common stocks,Mid cap,USA,Industrials,Security & Protection Services,"$6,586,403,477 ",1.62%,2.49,-16.42,1.26,-7.64,-13.97,1.39,Analyze
ADTN,Adtran Inc,Common stocks,Small cap,USA,Information Technology,Communication Equipment,"$867,313,962 ",2.00%,2.33,49.87,1.62,3.29,4.68,1.55,Analyze
