"Symbol","Name","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","P/E","P/S","P/B","Current yield","Avg Volume","Action"
"JP","Jupai Holdings Limited ADRs","China","PRIVATE","","Financials","$36,411,463","0.00","0.00","0.00","0.00%","58,985","Analyze"
"TC","TuanChe Limited ADRs","China","PRIVATE","","Information Technology","$36,320,396","0.00","0.00","0.00","0.00%","24,356","Analyze"
"MTP","Midatech Pharma PLC ADRs","United Kingdom","LN:MTPH","London Stock Exchange","Health Care","$36,236,366","0.00","0.00","0.00","0.00%","101,686","Analyze"
"SFET","Safe-T Group Ltd. ADRs","Israel","IT:SFET","Tel Aviv Stock Exchange","Information Technology","$34,448,643","0.00","0.00","0.00","0.00%","225,040","Analyze"
"AMBO","Ambow Education Holding Ltd. ADRs of Class A","China","PRIVATE","","Consumer Staples","$34,177,657","0.00","0.00","0.00","0.00%","196,017","Analyze"
"PT","Pintec Technology Holdings Limited ADRs of Class A","China","PRIVATE","","Information Technology","$33,895,287","0.00","0.00","0.00","0.00%","235,075","Analyze"
"CANF","Can-Fite BioPharma Ltd. ADRs","Israel","IT:CFBI","Tel Aviv Stock Exchange","Health Care","$33,219,285","0.00","0.00","0.00","0.00%","137,929","Analyze"
"LGHL","Lion Group Holding Ltd. ADRs","China","PRIVATE","","Financials","$30,998,686","0.00","0.00","0.00","0.00%","706,217","Analyze"
"BNTC","Benitec Biopharma ADRs","Australia","AT:BLT","Asx - All Markets","Health Care","$29,768,237","0.00","0.00","0.00","0.00%","102,406","Analyze"
"WEI","Weidai Ltd. ADRs of Class A","China","PRIVATE","","Financials","$29,550,696","0.00","0.00","0.00","0.00%","171,541","Analyze"
"DXF","Dunxin Financial Holdings Limited ADRs","China","PRIVATE","","Financials","$29,230,863","0.00","0.00","0.00","0.00%","71,630","Analyze"
"MDGS","Medigus Ltd. ADRs","Israel","IT:MDGS","Tel Aviv Stock Exchange","Health Care","$29,044,706","0.00","0.00","0.00","0.00%","472,858","Analyze"
"QK","Q&K International Group Limited ADRs","China","PRIVATE","","Real Estate","$27,623,668","0.00","0.00","0.00","0.00%","165,559","Analyze"
"IMRN","Immuron Limited ADRs","Australia","AT:IMC","Asx - All Markets","Health Care","$27,554,218","0.00","0.00","0.00","0.00%","14,407","Analyze"
"HX","Hexindai Inc. ADRs","China","PRIVATE","","Financials","$27,519,157","0.00","0.00","0.00","15.98%","63,527","Analyze"
"LAIX","LAIX Inc. ADRs of Class A","China","PRIVATE","","Consumer Staples","$27,328,107","0.00","0.00","0.00","0.00%","1,238,216","Analyze"
